TimeStep,Vn[1],Vn[2],Vn[3],Vn[4],Vn[5],Vn[6],Vn[7],Vn[8],Vn[9],Vn[10],Vn[11]
1,0.00944893,0,0,0,0,0,0,0,0,0,0
2,0.0477734,0.00236223,0,0,0,0,0,0,0,0,0
3,0.158799,0.0154867,0.000590558,0,0,0,0,0,0,0,0
4,0.306773,0.0607152,0.00475751,0.00014764,0,0,0,0,0,0,0
5,0.267441,0.153469,0.0217614,0.00141084,3.69099e-05,0,0,0,0,0,0
6,-0.0943803,0.241789,0.0666045,0.0074182,0.000408074,9.22747e-06,0,0,0,0,0
7,-0.414276,0.20227,0.140447,0.0264696,0.00243206,0.00011586,2.30687e-06,0,0,0,0
8,-0.302394,-0.00684058,0.201251,0.068006,0.00988638,0.000773153,3.24252e-05,5.76717e-07,0,0,0
9,-0.00186674,-0.237817,0.176721,0.128324,0.0295923,0.00352357,0.000239764,8.97139e-06,1.44179e-07,0,0
10,0.088164,-0.306171,0.036457,0.176058,0.0674639,0.0119702,0.00121036,7.28573e-05,2.45912e-06,3.60448e-08,0
11,-0.00474406,-0.190285,-0.154564,0.161743,0.118611,0.0316003,0.00458654,0.000403518,2.17678e-05,6.68846e-07,1.80224e-08
12,-0.0684284,-0.0190828,-0.275438,0.0575688,0.158788,0.0662296,0.0136704,0.0016845,0.000131239,6.41369e-06,3.55449e-07
13,-0.0387872,0.075694,-0.248972,-0.104553,0.150521,0.110859,0.0328976,0.00557364,0.000597819,4.18504e-05,3.60952e-06
14,0.0189935,0.060684,-0.105234,-0.239011,0.0685699,0.145913,0.064784,0.0150498,0.00216936,0.000206719,2.48993e-05
15,0.0398769,-0.00622812,0.0465387,-0.263129,-0.0709405,0.141349,0.104519,0.0337394,0.00647036,0.000816794,0.000130002
16,0.0168261,-0.0484223,0.107703,-0.161784,-0.205426,0.0745057,0.135767,0.0633067,0.0161752,0.00266856,0.000543467
17,-0.015798,-0.0352731,0.0624643,-0.00397704,-0.259017,-0.0470055,0.133584,0.0992062,0.0342863,0.00736572,0.00188166
18,-0.0255355,0.00717927,-0.0238191,0.10668,-0.195846,-0.176372,0.0776597,0.12747,0.0618972,0.017422,0.00551582
19,-0.00917814,0.0337033,-0.0697282,0.109081,-0.0521749,-0.247099,-0.0293202,0.126888,0.0947826,0.0356206,0.0138917
20,0.0122626,0.0236491,-0.0450771,0.0264652,0.0830791,-0.214651,-0.151693,0.0792279,0.120904,0.0631774,0.03034
21,0.0179558,-0.00643328,0.0146411,-0.0598823,0.129747,-0.0920301,-0.232075,-0.0157437,0.122175,0.0969565,0.0577243
22,0.00576128,-0.0251498,0.0504598,-0.0801916,0.0735636,0.0510237,-0.223363,-0.130319,0.0826611,0.127232,0.0955965
23,-0.00969426,-0.0172362,0.0347133,-0.0293992,-0.0266938,0.131116,-0.122793,-0.214909,0.00104555,0.138456,0.136662
24,-0.0134652,0.00555034,-0.0100487,0.0380976,-0.0881751,0.108278,0.0182247,-0.222483,-0.100206,0.114879,0.164937
25,-0.00395743,0.0196832,-0.0388743,0.0619897,-0.0689749,0.0138141,0.121579,-0.13931,-0.178256,0.050045,0.158757
26,0.00786288,0.0132665,-0.0278446,0.0279246,0.00366377,-0.0744061,0.13277,-0.000651149,-0.189494,-0.0446861,0.100281
27,0.0105647,-0.00477886,0.00740521,-0.0261479,0.0628501,-0.0913149,0.0588116,0.124152,-0.117319,-0.139377,-0.0111861
28,0.00289292,-0.0159423,0.0312207,-0.0495827,0.0612457,-0.0321508,-0.0363433,0.172252,0.0097089,-0.196506,-0.149593
29,-0.00652471,-0.0106062,0.0230446,-0.0251095,0.00858508,0.0493144,-0.0783012,0.127568,0.125819,-0.190353,-0.265321
30,-0.00856546,0.00416297,-0.00558275,0.0198259,-0.0423169,0.0886933,-0.0368878,0.030979,0.163323,-0.123899,-0.304989
31,-0.00220125,0.0133136,-0.0254215,0.0428734,-0.0449306,0.0639244,0.0528875,-0.0494907,0.095936,-0.0309119,-0.240889
