z_exact,Re(V_exact),Im(V_exact),z_fdtd,Re(V_fdtd),Im(V_fdtd)
0,0.666667,-8.16431e-17,0,0.165761,0
0.01,0.645722,-0.0828966,0.025,0.0325892,0.00899972
0.02,0.584204,-0.160585,0.05,0.0341325,0.0232557
0.03,0.485979,-0.228182,0.075,0.0361008,0.0448636
0.04,0.357218,-0.281443,0.1,0.0406838,0.094689
0.05,0.206011,-0.317019,0.125,0.0803967,0.482387
0.06,0.0418603,-0.332676,0.15,0.0263889,-0.217873
0.07,-0.124921,-0.327429,0.175,0.035303,-0.0941283
0.08,-0.283853,-0.301609,0.2,0.0438218,-0.0623549
0.09,-0.424949,-0.256838,0.225,0.060151,-0.0485188
0.1,-0.539345,-0.195928,0.25,0.127638,-0.0468073
0.11,-0.619851,-0.122708,,,
0.12,-0.66141,-0.0417777,,,
0.13,-0.66141,0.0417777,,,
0.14,-0.619851,0.122708,,,
0.15,-0.539345,0.195928,,,
0.16,-0.424949,0.256838,,,
0.17,-0.283853,0.301609,,,
0.18,-0.124921,0.327429,,,
0.19,0.0418603,0.332676,,,
0.2,0.206011,0.317019,,,
0.21,0.357218,0.281443,,,
0.22,0.485979,0.228182,,,
0.23,0.584204,0.160585,,,
0.24,0.645722,0.0828966,,,
0.25,0.666667,-4.65049e-16,,,
