TimeStep,V[1],V[2],V[3],V[4],V[5],V[6],V[7],V[8],V[9],V[10],V[11],V[12],V[13],V[14],V[15],V[16],V[17],V[18],V[19],V[20],V[21],V[22],V[23],V[24],V[25],V[26]
1,0.777488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.714055,0.118635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.514709,0.310022,0.0181023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.397387,0.488098,0.0779858,0.00276219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.380777,0.589755,0.188969,0.0165811,0.000421477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.41509,0.598369,0.334804,0.0542386,0.00324441,6.43123e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.445748,0.5388,0.478044,0.126926,0.0133632,0.000604056,9.81328e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.441436,0.455762,0.576978,0.235861,0.0388634,0.00300002,0.000108803,1.49739e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.399194,0.389034,0.605366,0.366787,0.0889507,0.0104271,0.000632584,1.91399e-05,2.28483e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.335365,0.356866,0.56434,0.491723,0.169451,0.0283415,0.00255729,0.000127501,3.30775e-06,3.48638e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.271157,0.353075,0.480576,0.578565,0.277594,0.063853,0.00804559,0.000587668,2.4838e-05,5.63811e-07,5.31979e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.22053,0.35624,0.392308,0.60453,0.399048,0.123463,0.0209114,0.00209994,0.000128545,4.71148e-06,9.50468e-08,8.11735e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.185111,0.344201,0.33092,0.566759,0.509805,0.209476,0.0465551,0.00618181,0.000514168,2.70503e-05,8.74807e-07,1.58787e-08,1.23861e-10,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.156606,0.30586,0.307544,0.484311,0.583425,0.316456,0.090898,0.0155593,0.00169028,0.000119723,5.51756e-06,1.59604e-07,2.63283e-09,1.88997e-11,0,0,0,0,0,0,0,0,0,0,0,0
15,0.123732,0.245001,0.310883,0.390014,0.601186,0.429754,0.158163,0.0343164,0.00474299,0.000434617,2.67692e-05,1.09694e-06,2.86948e-08,4.33769e-10,2.88386e-12,0,0,0,0,0,0,0,0,0,0,0
16,0.0791791,0.175691,0.316244,0.315865,0.560566,0.52777,0.247971,0.0674583,0.0116508,0.00134468,0.000106336,5.78854e-06,2.13445e-07,5.09518e-09,7.10756e-11,4.40043e-13,0,0,0,0,0,0,0,0,0,0
17,0.0230477,0.113101,0.300101,0.279112,0.477604,0.588096,0.35293,0.119629,0.0255016,0.00363839,0.000359518,2.49718e-05,1.2171e-06,4.07817e-08,8.95107e-10,1.15911e-11,6.71452e-14,0,0,0,0,0,0,0,0,0
18,-0.0383247,0.0653044,0.252221,0.27585,0.381213,0.595678,0.458173,0.193036,0.050379,0.00876784,0.00106197,9.15781e-05,5.66594e-06,2.49873e-07,7.67053e-09,1.55798e-10,1.88246e-12,1.02455e-14,0,0,0,0,0,0,0,0
19,-0.0967007,0.030216,0.179425,0.285059,0.30147,0.549554,0.543941,0.285131,0.0906748,0.0190708,0.00279217,0.000293145,2.23975e-05,1.24843e-06,5.02565e-08,1.42318e-09,2.68977e-11,3.04604e-13,1.56335e-15,0,0,0,0,0,0,0
20,-0.146577,-0.00147075,0.0999806,0.280654,0.257078,0.464719,0.591074,0.387047,0.149716,0.0378158,0.00662498,0.00083472,7.72147e-05,5.29126e-06,2.68218e-07,9.92888e-09,2.6091e-10,4.6105e-12,4.91285e-14,2.38548e-16,0,0,0,0,0,0
21,-0.187575,-0.0398187,0.0326242,0.245083,0.247967,0.367481,0.587795,0.48388,0.227897,0.0688761,0.0143336,0.00214423,0.000236643,1.95423e-05,1.21322e-06,5.63712e-08,1.93103e-09,4.73286e-11,7.85244e-13,7.90071e-15,3.63995e-17,0,0,0,0,0
22,-0.223638,-0.0896586,-0.0133675,0.177533,0.256652,0.285624,0.535043,0.55751,0.320873,0.115878,0.0285048,0.00502262,0.00065402,6.41235e-05,4.7785e-06,2.71028e-07,1.16206e-08,3.70375e-10,8.5047e-12,1.32976e-13,1.26724e-15,5.55412e-18,0,0,0,0
23,-0.259947,-0.148301,-0.0418712,0.092927,0.257685,0.237404,0.44766,0.591604,0.418677,0.180828,0.0524251,0.0108175,0.00164798,0.000189661,1.67113e-05,1.13389e-06,5.91761e-08,2.35486e-09,7.01637e-11,1.51538e-12,2.24027e-14,2.02779e-16,8.47491e-19,0,0,0
24,-0.299578,-0.207739,-0.0660462,0.0128923,0.230484,0.224361,0.350159,0.577347,0.506575,0.262478,0.0895893,0.0215621,0.00381858,0.00051133,5.26572e-05,4.20969e-06,2.62049e-07,1.2661e-08,4.69964e-10,1.31449e-11,2.67961e-13,3.75664e-15,3.2378e-17,1.29317e-19,0,0
25,-0.341801,-0.259571,-0.0997968,-0.0459857,0.169146,0.231448,0.268129,0.517625,0.568026,0.354994,0.142754,0.0399793,0.00819197,0.00126766,0.000151198,1.40756e-05,1.02923e-06,5.91605e-08,2.66026e-09,9.25146e-11,2.43807e-12,4.70566e-14,6.27265e-16,5.15966e-18,1.97322e-20,0
