tempo_ns,Ey_Vpm
0.000000000000000e+00,0.000000000000000e+00
2.358654336749684e-02,0.000000000000000e+00
4.717308673499368e-02,0.000000000000000e+00
7.075963010249052e-02,0.000000000000000e+00
9.434617346998736e-02,0.000000000000000e+00
1.179327168374842e-01,0.000000000000000e+00
1.415192602049810e-01,0.000000000000000e+00
1.651058035724779e-01,0.000000000000000e+00
1.886923469399747e-01,0.000000000000000e+00
2.122788903074716e-01,0.000000000000000e+00
2.358654336749684e-01,0.000000000000000e+00
2.594519770424653e-01,0.000000000000000e+00
2.830385204099621e-01,0.000000000000000e+00
3.066250637774590e-01,0.000000000000000e+00
3.302116071449557e-01,0.000000000000000e+00
3.537981505124526e-01,0.000000000000000e+00
3.773846938799494e-01,0.000000000000000e+00
4.009712372474463e-01,0.000000000000000e+00
4.245577806149431e-01,0.000000000000000e+00
4.481443239824399e-01,0.000000000000000e+00
4.717308673499368e-01,0.000000000000000e+00
4.953174107174336e-01,0.000000000000000e+00
5.189039540849305e-01,0.000000000000000e+00
5.424904974524274e-01,0.000000000000000e+00
5.660770408199242e-01,0.000000000000000e+00
5.896635841874210e-01,0.000000000000000e+00
6.132501275549179e-01,0.000000000000000e+00
6.368366709224147e-01,0.000000000000000e+00
6.604232142899115e-01,0.000000000000000e+00
6.840097576574083e-01,0.000000000000000e+00
7.075963010249052e-01,0.000000000000000e+00
7.311828443924020e-01,0.000000000000000e+00
7.547693877598989e-01,0.000000000000000e+00
7.783559311273958e-01,0.000000000000000e+00
8.019424744948926e-01,0.000000000000000e+00
8.255290178623894e-01,0.000000000000000e+00
8.491155612298863e-01,0.000000000000000e+00
8.727021045973832e-01,0.000000000000000e+00
8.962886479648798e-01,0.000000000000000e+00
9.198751913323767e-01,0.000000000000000e+00
9.434617346998736e-01,0.000000000000000e+00
9.670482780673706e-01,0.000000000000000e+00
9.906348214348673e-01,0.000000000000000e+00
1.014221364802364e+00,0.000000000000000e+00
1.037807908169861e+00,0.000000000000000e+00
1.061394451537358e+00,0.000000000000000e+00
1.084980994904855e+00,0.000000000000000e+00
1.108567538272351e+00,0.000000000000000e+00
1.132154081639848e+00,0.000000000000000e+00
1.155740625007345e+00,0.000000000000000e+00
1.179327168374842e+00,-1.338210931066867e-306
1.202913711742339e+00,-7.479175160472547e-303
1.226500255109836e+00,-3.920171695180312e-299
1.250086798477333e+00,-1.943450305221901e-295
1.273673341844829e+00,-9.113304713497280e-292
1.297259885212326e+00,-4.042155646558732e-288
1.320846428579823e+00,-1.695842202148029e-284
1.344432971947320e+00,-6.729669396227006e-281
1.368019515314817e+00,-2.526030371218474e-277
1.391606058682314e+00,-8.968517605536728e-274
1.415192602049810e+00,-3.011901620112746e-270
1.438779145417307e+00,-9.567527822134261e-267
1.462365688784804e+00,-2.874738805430595e-263
1.485952232152301e+00,-8.170294033331314e-260
1.509538775519798e+00,-2.196436301950703e-256
1.533125318887294e+00,-5.585245068006796e-253
1.556711862254792e+00,-1.343413418863323e-249
