tempo_ns,Ey_Vpm
0,0
0.0117933,0
0.0235865,0
0.0353798,0
0.0471731,0
0.0589664,0
0.0707596,0
0.0825529,0
0.0943462,0
0.106139,0
0.117933,0
0.129726,0
0.141519,0
0.153313,0
0.165106,0
0.176899,0
0.188692,0
0.200486,0
0.212279,0
0.224072,0
0.235865,0
0.247659,0
0.259452,0
0.271245,0
0.283038,0
0.294832,0
0.306625,0
0.318418,0
0.330212,0
0.342005,0
0.353798,0
0.365591,0
0.377385,0
0.389178,0
0.400971,0
0.412764,0
0.424558,0
0.436351,0
0.448144,0
0.459938,0
0.471731,0
0.483524,0
0.495317,0
0.507111,0
0.518904,0
0.530697,0
0.54249,0
0.554284,0
0.566077,0
0.57787,0
0.589664,0
0.601457,0
0.61325,0
0.625043,0
0.636837,0
0.64863,0
0.660423,0
0.672216,0
0.68401,0
0.695803,0
0.707596,0
0.719389,0
0.731183,0
0.742976,0
0.754769,0
0.766563,0
0.778356,0
0.790149,0
0.801942,0
0.813736,0
0.825529,0
0.837322,0
0.849115,0
0.860909,0
0.872702,0
0.884495,0
0.896289,0
0.908082,0
0.919875,0
0.931668,0
0.943462,0
0.955255,0
0.967048,0
0.978841,0
0.990635,0
1.00243,0
1.01422,0
1.02601,0
1.03781,0
1.0496,0
1.06139,0
1.07319,1.19933e-117
1.08498,1.32974e-116
1.09677,2.52082e-114
1.10857,2.78522e-113
1.12036,1.45316e-111
1.13215,1.5963e-110
1.14395,4.14405e-109
1.15574,4.51493e-108
1.16753,7.63408e-107
1.17933,8.22189e-106
1.19112,1.07346e-104
1.20291,1.13807e-103
1.21471,1.28771e-102
1.2265,1.33831e-101
1.23829,1.40663e-100
1.25009,1.42883e-99
1.26188,1.4417e-98
1.27367,1.42919e-97
1.28547,1.40077e-96
1.29726,1.35448e-95
1.30905,1.29369e-94
1.32085,1.22008e-93
1.33264,1.1364e-92
1.34443,1.04532e-91
1.35623,9.49626e-91
1.36802,8.52017e-90
1.37981,7.54992e-89
1.39161,6.60756e-88
1.4034,5.71149e-87
1.41519,4.87611e-86
1.42699,4.11169e-85
1.43878,3.42448e-84
1.45057,2.81711e-83
1.46237,2.28903e-82
1.47416,1.83716e-81
1.48595,1.45644e-80
1.49775,1.14051e-79
1.50954,8.82203e-79
1.52133,6.74075e-78
1.53313,5.08774e-77
1.54492,3.79336e-76
1.55671,2.7939e-75
1.5685,2.0328e-74
1.5803,1.46109e-73
1.59209,1.03745e-72
1.60388,7.27734e-72
1.61568,5.04308e-71
1.62747,3.45259e-70
1.63926,2.33521e-69
1.65106,1.56043e-68
1.66285,1.03017e-67
1.67464,6.71926e-67
1.68644,4.33003e-66
1.69823,2.75692e-65
1.71002,1.7343e-64
1.72182,1.07795e-63
1.73361,6.61999e-63
1.7454,4.01699e-62
1.7572,2.40845e-61
1.76899,1.42684e-60
1.78078,8.35248e-60
1.79258,4.83135e-59
1.80437,2.76146e-58
1.81616,1.55967e-57
1.82796,8.70473e-57
1.83975,4.8008e-56
1.85154,2.61645e-55
1.86334,1.40916e-54
1.87513,7.49998e-54
1.88692,3.94474e-53
1.89872,2.05042e-52
1.91051,1.05326e-51
1.9223,5.34696e-51
1.9341,2.68262e-50
1.94589,1.33015e-49
1.95768,6.51827e-49
1.96948,3.15693e-48
1.98127,1.51113e-47
1.99306,7.14903e-47
2.00486,3.34279e-46
2.01665,1.54487e-45
2.02844,7.05666e-45
2.04024,3.18595e-44
2.05203,1.42172e-43
2.06382,6.27092e-43
2.07562,2.73398e-42
2.08741,1.17818e-41
2.0992,5.0186e-41
2.111,2.11308e-40
2.12279,8.79457e-40
2.13458,3.61814e-39
2.14638,1.4714e-38
2.15817,5.91501e-38
2.16996,2.35053e-37
2.18175,9.23345e-37
2.19355,3.58555e-36
2.20534,1.3764e-35
2.21713,5.22317e-35
2.22893,1.95942e-34
2.24072,7.26662e-34
2.25251,2.66409e-33
2.26431,9.65564e-33
2.2761,3.45966e-32
2.28789,1.22549e-31
2.29969,4.29151e-31
2.31148,1.48574e-30
2.32327,5.08517e-30
2.33507,1.7207e-29
2.34686,5.75626e-29
2.35865,1.90379e-28
2.37045,6.22499e-28
2.38224,2.01235e-27
2.39403,6.43156e-27
2.40583,2.03226e-26
2.41762,6.34879e-26
2.42941,1.9609e-25
2.44121,5.98791e-25
2.453,1.8078e-24
2.46479,5.3961e-24
2.47659,1.59246e-23
2.48838,4.64636e-23
2.50017,1.34034e-22
2.51197,3.82276e-22
2.52376,1.07794e-21
2.53555,3.0052e-21
2.54735,8.2834e-21
2.55914,2.25736e-20
2.57093,6.08202e-20
2.58273,1.62013e-19
2.59452,4.26683e-19
2.60631,1.11099e-18
2.61811,2.86001e-18
2.6299,7.27898e-18
2.64169,1.83155e-17
2.65349,4.55624e-17
2.66528,1.12056e-16
2.67707,2.72455e-16
2.68887,6.54918e-16
2.70066,1.55634e-15
2.71245,3.65633e-15
2.72425,8.49186e-15
2.73604,1.94972e-14
2.74783,4.42533e-14
2.75963,9.9293e-14
2.77142,2.20234e-13
2.78321,4.82876e-13
2.795,1.04656e-12
2.8068,2.24214e-12
2.81859,4.74814e-12
2.83038,9.93882e-12
2.84218,2.05631e-11
