freq_Hz,abs_Hz
4.05673e+06,0.0108311
8.11346e+06,0.0110891
1.21702e+07,0.011509
1.62269e+07,0.0120785
2.02836e+07,0.0127834
2.43404e+07,0.0136097
2.83971e+07,0.0145453
3.24538e+07,0.0155803
3.65106e+07,0.016707
4.05673e+07,0.0179204
4.4624e+07,0.0192173
4.86807e+07,0.0205968
5.27375e+07,0.0220592
5.67942e+07,0.0236069
6.08509e+07,0.0252433
6.49077e+07,0.0269735
6.89644e+07,0.0288036
7.30211e+07,0.0307414
7.70778e+07,0.032796
8.11346e+07,0.0349781
8.51913e+07,0.0373003
8.9248e+07,0.0397771
9.33048e+07,0.0424252
9.73615e+07,0.0452642
1.01418e+08,0.0483168
1.05475e+08,0.0516094
1.09532e+08,0.055173
1.13588e+08,0.0590443
1.17645e+08,0.0632664
1.21702e+08,0.0678911
1.25759e+08,0.0729808
1.29815e+08,0.0786108
1.33872e+08,0.084874
1.37929e+08,0.0918849
1.41986e+08,0.0997875
1.46042e+08,0.108765
1.50099e+08,0.119052
1.54156e+08,0.130961
1.58212e+08,0.144906
1.62269e+08,0.161458
1.66326e+08,0.18142
1.70383e+08,0.205965
1.74439e+08,0.236866
1.78496e+08,0.276952
1.82553e+08,0.331013
1.8661e+08,0.40787
1.90666e+08,0.525741
1.94723e+08,0.729292
1.9878e+08,1.16499
2.02836e+08,2.75517
2.06893e+08,8.64099
2.1095e+08,1.72928
2.15007e+08,0.975351
2.19063e+08,0.686206
2.2312e+08,0.533366
2.27177e+08,0.438859
2.31234e+08,0.374655
2.3529e+08,0.328195
2.39347e+08,0.293008
2.43404e+08,0.265418
2.4746e+08,0.243179
2.51517e+08,0.224834
2.55574e+08,0.20939
2.59631e+08,0.19614
2.63687e+08,0.184548
2.67744e+08,0.174188
2.71801e+08,0.164679
2.75858e+08,0.15563
2.79914e+08,0.146556
2.83971e+08,0.136696
2.88028e+08,0.124524
2.92084e+08,0.106089
2.96141e+08,0.0708362
3.00198e+08,4.9288
3.04255e+08,0.249429
3.08311e+08,0.192343
3.12368e+08,0.172674
3.16425e+08,0.162261
3.20482e+08,0.155643
3.24538e+08,0.15102
3.28595e+08,0.14762
3.32652e+08,0.145053
3.36708e+08,0.143094
3.40765e+08,0.141598
3.44822e+08,0.140464
3.48879e+08,0.139664
3.52935e+08,0.139904
3.56992e+08,0.170966
3.61049e+08,0.194608
3.65106e+08,0.157429
3.69162e+08,0.153462
3.73219e+08,0.153563
3.77276e+08,0.155269
3.81332e+08,0.158097
3.85389e+08,0.162023
3.89446e+08,0.167259
3.93503e+08,0.174295
3.97559e+08,0.184137
4.01616e+08,0.198991
4.05673e+08,0.224402
4.0973e+08,0.277153
4.13786e+08,0.424441
4.17843e+08,1.17513
4.219e+08,3.60611
4.25957e+08,1.79364
4.30013e+08,5.36864
4.3407e+08,0.341588
4.38127e+08,0.0585345
4.42183e+08,0.0736693
4.4624e+08,0.125137
4.50297e+08,0.165086
4.54354e+08,0.201296
4.5841e+08,0.23881
4.62467e+08,0.281798
4.66524e+08,0.335185
4.70581e+08,0.406538
4.74637e+08,0.509794
4.78694e+08,0.675324
4.82751e+08,0.985768
4.86807e+08,1.77432
4.90864e+08,7.50489
4.94921e+08,3.74877
4.98978e+08,1.61283
5.03034e+08,1.10947
5.07091e+08,0.931044
5.11148e+08,0.918139
5.15205e+08,1.12662
5.19261e+08,2.46099
5.23318e+08,2.35322
5.27375e+08,0.579227
5.31431e+08,0.292567
5.35488e+08,0.448303
5.39545e+08,14.8751
5.43602e+08,0.704813
5.47658e+08,0.454539
5.51715e+08,0.387856
5.55772e+08,0.389224
5.59829e+08,0.448622
5.63885e+08,0.615369
5.67942e+08,5.85648
5.71999e+08,1.92061
5.76055e+08,4.00736
5.80112e+08,1.0444
5.84169e+08,0.613381
5.88226e+08,4.61485
5.92282e+08,0.296406
5.96339e+08,0.219574
6.00396e+08,0.14264
6.04453e+08,0.0461082
6.08509e+08,0.126281
6.12566e+08,0.65557
6.16623e+08,5.02209
6.20679e+08,1.84677
6.24736e+08,1.2539
6.28793e+08,0.765228
6.3285e+08,0.672214
6.36906e+08,0.737067
6.40963e+08,6.23471
6.4502e+08,0.48663
6.49077e+08,0.420311
6.53133e+08,0.420697
6.5719e+08,0.430296
6.61247e+08,0.445471
6.65304e+08,0.802388
6.6936e+08,0.494784
6.73417e+08,0.535206
6.77474e+08,0.59468
6.8153e+08,0.695018
6.85587e+08,0.939895
6.89644e+08,5.38855
6.93701e+08,0.935635
6.97757e+08,1.01457
7.01814e+08,1.49737
7.05871e+08,3.47502
7.09928e+08,5.41632
7.13984e+08,1.30145
7.18041e+08,0.97015
7.22098e+08,1.68098
7.26154e+08,21.4018
7.30211e+08,2.01869
7.34268e+08,0.414913
7.38325e+08,0.269885
7.42381e+08,9.82539
7.46438e+08,2.27146
7.50495e+08,1.53059
7.54552e+08,1.48299
7.58608e+08,1.96562
7.62665e+08,5.87414
7.66722e+08,4.70072
7.70778e+08,1.44514
7.74835e+08,1.11478
7.78892e+08,1.15189
7.82949e+08,1.81464
7.87005e+08,6.62666
7.91062e+08,0.633332
7.95119e+08,0.219643
7.99176e+08,0.320876
8.03232e+08,0.986569
8.07289e+08,4.9638
8.11346e+08,0.949103
8.15402e+08,0.595346
8.19459e+08,0.471487
8.23516e+08,0.418217
8.27573e+08,0.418576
8.31629e+08,0.388563
8.35686e+08,0.412157
8.39743e+08,0.515997
8.438e+08,1.73152
8.47856e+08,0.289063
8.51913e+08,0.405622
8.5597e+08,0.527946
8.60026e+08,0.790098
8.64083e+08,3.07476
8.6814e+08,0.731068
8.72197e+08,0.289636
8.76253e+08,1.78759
8.8031e+08,1.02684
8.84367e+08,1.45846
8.88424e+08,3.22126
8.9248e+08,13.0775
8.96537e+08,0.179965
9.00594e+08,0.966771
9.04651e+08,0.517154
9.08707e+08,0.183366
9.12764e+08,4.28947
9.16821e+08,0.727612
9.20877e+08,0.390961
9.24934e+08,0.327845
9.28991e+08,0.319398
9.33048e+08,0.347419
9.37104e+08,0.404115
9.41161e+08,0.541776
9.45218e+08,2.25438
9.49275e+08,2.96041
9.53331e+08,1.81639
9.57388e+08,3.24299
9.61445e+08,19.4271
9.65501e+08,4.71348
9.69558e+08,2.26169
9.73615e+08,3.13419
9.77672e+08,3.20422
9.81728e+08,1.16844
9.85785e+08,1.76907
9.89842e+08,6.17622
9.93899e+08,10.7773
9.97955e+08,4.41457
1.00201e+09,2.78217
1.00607e+09,2.24713
1.01013e+09,8.74337
1.01418e+09,2.06642
1.01824e+09,2.23434
1.0223e+09,3.89886
1.02635e+09,3.6321
1.03041e+09,1.41997
1.03447e+09,1.22932
1.03852e+09,1.35583
1.04258e+09,1.62388
1.04664e+09,2.26026
1.05069e+09,5.25357
1.05475e+09,5.59187
1.05881e+09,0.60419
1.06286e+09,0.176883
1.06692e+09,0.662908
1.07098e+09,1.23686
1.07503e+09,0.580976
1.07909e+09,0.901091
1.08315e+09,9.47358
1.0872e+09,0.945567
1.09126e+09,0.424786
1.09532e+09,1.29293
1.09937e+09,7.73968
1.10343e+09,8.45142
1.10749e+09,3.73862
1.11154e+09,4.6308
1.1156e+09,11.1177
1.11966e+09,1.74115
1.12371e+09,1.72881
1.12777e+09,3.46723
1.13183e+09,6.04511
1.13588e+09,2.81923
1.13994e+09,2.33631
1.144e+09,5.23888
1.14805e+09,2.18409
1.15211e+09,2.24411
1.15617e+09,2.57477
1.16022e+09,1.95441
1.16428e+09,2.43083
1.16834e+09,5.82895
1.17239e+09,2.74334
1.17645e+09,3.18897
1.18051e+09,3.96834
1.18456e+09,17.061
1.18862e+09,5.80131
1.19268e+09,9.46629
1.19673e+09,31.084
1.20079e+09,11.8091
1.20485e+09,6.60885
1.20891e+09,15.5239
1.21296e+09,5.43979
1.21702e+09,5.2789
1.22108e+09,4.91061
1.22513e+09,4.74211
1.22919e+09,2.31459
1.23325e+09,3.90421
1.2373e+09,29.3856
1.24136e+09,4.36169
1.24542e+09,5.40892
1.24947e+09,19.6283
1.25353e+09,12.9351
1.25759e+09,7.48476
1.26164e+09,3.75916
1.2657e+09,2.40321
1.26976e+09,2.06938
1.27381e+09,1.68581
1.27787e+09,1.54217
1.28193e+09,1.23884
1.28598e+09,1.0043
1.29004e+09,0.665738
1.2941e+09,0.961659
1.29815e+09,0.910742
1.30221e+09,1.3058
1.30627e+09,4.01115
1.31032e+09,4.52586
1.31438e+09,15.2048
1.31844e+09,2.49018
1.32249e+09,0.321944
1.32655e+09,1.39664
1.33061e+09,7.85826
1.33466e+09,5.1199
1.33872e+09,1.9013
1.34278e+09,5.59615
1.34683e+09,5.29758
1.35089e+09,4.37786
1.35495e+09,4.24612
1.359e+09,2.08427
1.36306e+09,7.55321
1.36712e+09,19.4514
1.37117e+09,4.96465
1.37523e+09,4.08476
1.37929e+09,3.80814
1.38334e+09,3.60226
1.3874e+09,3.05835
1.39146e+09,6.56142
1.39551e+09,4.88907
1.39957e+09,5.34742
1.40363e+09,12.3073
1.40768e+09,22.8232
1.41174e+09,9.63798
1.4158e+09,40.8861
1.41986e+09,3.7778
1.42391e+09,21.088
1.42797e+09,3.71853
1.43203e+09,7.9403
1.43608e+09,6.96236
1.44014e+09,7.82688
