phi_deg,abs_js_single_over_h_inc,abs_js_quad_over_h_inc,re_js_single,im_js_single,re_js_quad,im_js_quad
0.0000000000e+00,3.0113943085e-01,2.8726542095e-01,-7.0787975860e-04,3.7128607371e-04,-6.5708700735e-04,3.8686589402e-04
3.6000000000e+01,3.3705080441e-01,3.2361773211e-01,-7.2523364931e-04,-5.2388995384e-04,-6.9059947694e-04,-5.1084915897e-04
7.2000000000e+01,7.9971996033e-01,8.0529409975e-01,7.4395491991e-04,-1.9881347642e-03,7.6715889593e-04,-1.9951570500e-03
1.0800000000e+02,1.4255050904e+00,1.4379463135e+00,3.6920907349e-03,-8.2823078356e-04,3.7211362536e-03,-8.4950003479e-04
1.4400000000e+02,2.0492951645e+00,2.0445494397e+00,4.8282313084e-03,2.5055447497e-03,4.8354777273e-03,2.4639074220e-03
1.8000000000e+02,2.3254511942e+00,2.3065579318e+00,4.6050755452e-03,4.1103476795e-03,4.5948383990e-03,4.0462989718e-03
2.1600000000e+02,2.0492951645e+00,2.0445494397e+00,4.8282313084e-03,2.5055447497e-03,4.8354777273e-03,2.4639074220e-03
2.5200000000e+02,1.4255050904e+00,1.4379463135e+00,3.6920907349e-03,-8.2823078356e-04,3.7211362536e-03,-8.4950003479e-04
2.8800000000e+02,7.9971996033e-01,8.0529409975e-01,7.4395491991e-04,-1.9881347642e-03,7.6715889593e-04,-1.9951570500e-03
3.2400000000e+02,3.3705080441e-01,3.2361773211e-01,-7.2523364931e-04,-5.2388995384e-04,-6.9059947694e-04,-5.1084915897e-04
