dof,edge,node1,node2,edge_center_x_m,edge_center_y_m,edge_center_z_m,abs_i,real_i,imag_i,abs_i_norm
1,1,2,8,0.0833333,0.0714286,0,0.0179742,0.0179501,-0.000931903,0.677151
2,4,3,9,0.25,0.0714286,0,0.050758,0.0435941,-0.0259987,1.91223
3,5,2,9,0.166667,0.0714286,0,0.0425471,-0.042546,0.000301426,1.60289
4,7,4,10,0.416667,0.0714286,0,0.0792742,0.0597999,-0.052042,2.98653
5,8,3,10,0.333333,0.0714286,0,0.0960896,-0.0791589,0.0544709,3.62002
6,10,5,11,0.583333,0.0714286,0,0.0727084,0.0570523,-0.0450726,2.73917
7,11,4,11,0.5,0.0714286,0,0.125393,-0.0946103,0.0822943,4.72399
8,13,6,12,0.75,0.0714286,0,0.0387494,0.0368625,-0.0119446,1.45982
9,14,5,12,0.666667,0.0714286,0,0.0979911,-0.0791769,0.0577346,3.69166
10,16,7,13,0.916667,0.0714286,0,0.0172216,0.010755,0.0134504,0.648797
11,17,6,13,0.833333,0.0714286,0,0.0423228,-0.041871,0.00616743,1.59444
12,19,8,9,0.0833333,0.142857,0,0.00994713,-0.00127562,-0.009865,0.374742
13,20,9,10,0.25,0.142857,0,0.00114083,-0.00112838,0.000168086,0.042979
14,21,10,11,0.416667,0.142857,0,0.000560382,-0.000557161,-5.99908e-05,0.0211115
15,22,11,12,0.583333,0.142857,0,0.000974892,0.000446617,0.000866573,0.0367275
16,23,12,13,0.75,0.142857,0,0.00308083,0.00107468,0.00288731,0.116065
17,24,13,14,0.916667,0.142857,0,0.0069642,-0.00313272,0.00621982,0.262365
18,26,9,15,0.0833333,0.214286,0,0.0133164,0.011822,0.00612912,0.501674
19,28,10,16,0.25,0.214286,0,0.0298136,0.0288939,0.00734778,1.12318
20,29,9,16,0.166667,0.214286,0,0.0387868,-0.0321055,-0.0217636,1.46123
21,30,11,17,0.416667,0.214286,0,0.0414083,0.0412353,-0.00378053,1.55999
22,31,10,17,0.333333,0.214286,0,0.0560496,-0.0558915,-0.0042069,2.11158
23,32,12,18,0.583333,0.214286,0,0.0424984,0.0423468,-0.00358571,1.60106
24,33,11,18,0.5,0.214286,0,0.0666301,-0.0662357,0.00723859,2.51018
25,34,13,19,0.75,0.214286,0,0.0325051,0.0312702,0.00887433,1.22458
26,35,12,19,0.666667,0.214286,0,0.057403,-0.0573995,-0.000634631,2.16257
27,36,14,20,0.916667,0.214286,0,0.0232137,0.0106014,0.0206516,0.874541
28,37,13,20,0.833333,0.214286,0,0.038372,-0.0336985,-0.0183526,1.4456
29,38,15,16,0.0833333,0.285714,0,0.0145964,0.000646936,-0.014582,0.549895
30,39,16,17,0.25,0.285714,0,0.0023831,0.000385009,-0.0023518,0.0897797
31,40,17,18,0.416667,0.285714,0,0.000846965,0.000161063,-0.000831509,0.0319081
32,41,18,19,0.583333,0.285714,0,0.00143505,0.000302897,0.00140271,0.0540631
33,42,19,20,0.75,0.285714,0,0.00333509,0.000623607,0.00327627,0.125644
