element,node1,node2,node3,xc_m,yc_m,zc_m
1,1,2,8,0.0555556,0.047619,0
2,2,3,9,0.222222,0.047619,0
3,3,4,10,0.388889,0.047619,0
4,4,5,11,0.555556,0.047619,0
5,5,6,12,0.722222,0.047619,0
6,6,7,13,0.888889,0.047619,0
7,2,8,9,0.111111,0.0952381,0
8,3,9,10,0.277778,0.0952381,0
9,4,10,11,0.444444,0.0952381,0
10,5,11,12,0.611111,0.0952381,0
11,6,12,13,0.777778,0.0952381,0
12,7,13,14,0.944444,0.0952381,0
13,8,9,15,0.0555556,0.190476,0
14,9,10,16,0.222222,0.190476,0
15,10,11,17,0.388889,0.190476,0
16,11,12,18,0.555556,0.190476,0
17,12,13,19,0.722222,0.190476,0
18,13,14,20,0.888889,0.190476,0
19,9,15,16,0.111111,0.238095,0
20,10,16,17,0.277778,0.238095,0
21,11,17,18,0.444444,0.238095,0
22,12,18,19,0.611111,0.238095,0
23,13,19,20,0.777778,0.238095,0
24,14,20,21,0.944444,0.238095,0
25,15,16,22,0.0555556,0.333333,0
26,16,17,23,0.222222,0.333333,0
27,17,18,24,0.388889,0.333333,0
28,18,19,25,0.555556,0.333333,0
29,19,20,26,0.722222,0.333333,0
30,20,21,27,0.888889,0.333333,0
31,16,22,23,0.111111,0.380952,0
32,17,23,24,0.277778,0.380952,0
33,18,24,25,0.444444,0.380952,0
34,19,25,26,0.611111,0.380952,0
35,20,26,27,0.777778,0.380952,0
36,21,27,28,0.944444,0.380952,0
37,22,23,29,0.0555556,0.47619,0
38,23,24,30,0.222222,0.47619,0
39,24,25,31,0.388889,0.47619,0
40,25,26,32,0.555556,0.47619,0
41,26,27,33,0.722222,0.47619,0
42,27,28,34,0.888889,0.47619,0
43,23,29,30,0.111111,0.52381,0
44,24,30,31,0.277778,0.52381,0
45,25,31,32,0.444444,0.52381,0
46,26,32,33,0.611111,0.52381,0
47,27,33,34,0.777778,0.52381,0
48,28,34,35,0.944444,0.52381,0
49,29,30,36,0.0555556,0.619048,0
50,30,31,37,0.222222,0.619048,0
51,31,32,38,0.388889,0.619048,0
52,32,33,39,0.555556,0.619048,0
53,33,34,40,0.722222,0.619048,0
54,34,35,41,0.888889,0.619048,0
55,30,36,37,0.111111,0.666667,0
56,31,37,38,0.277778,0.666667,0
57,32,38,39,0.444444,0.666667,0
58,33,39,40,0.611111,0.666667,0
59,34,40,41,0.777778,0.666667,0
60,35,41,42,0.944444,0.666667,0
61,36,37,43,0.0555556,0.761905,0
62,37,38,44,0.222222,0.761905,0
63,38,39,45,0.388889,0.761905,0
64,39,40,46,0.555556,0.761905,0
65,40,41,47,0.722222,0.761905,0
66,41,42,48,0.888889,0.761905,0
67,37,43,44,0.111111,0.809524,0
68,38,44,45,0.277778,0.809524,0
69,39,45,46,0.444444,0.809524,0
70,40,46,47,0.611111,0.809524,0
71,41,47,48,0.777778,0.809524,0
72,42,48,49,0.944444,0.809524,0
73,43,44,50,0.0555556,0.904762,0
74,44,45,51,0.222222,0.904762,0
75,45,46,52,0.388889,0.904762,0
76,46,47,53,0.555556,0.904762,0
77,47,48,54,0.722222,0.904762,0
78,48,49,55,0.888889,0.904762,0
79,44,50,51,0.111111,0.952381,0
80,45,51,52,0.277778,0.952381,0
81,46,52,53,0.444444,0.952381,0
82,47,53,54,0.611111,0.952381,0
83,48,54,55,0.777778,0.952381,0
84,49,55,56,0.944444,0.952381,0
