node,x_m,y_m,z_m
1,0,0,0
2,0.166667,0,0
3,0.333333,0,0
4,0.5,0,0
5,0.666667,0,0
6,0.833333,0,0
7,1,0,0
8,0,0.142857,0
9,0.166667,0.142857,0
10,0.333333,0.142857,0
11,0.5,0.142857,0
12,0.666667,0.142857,0
13,0.833333,0.142857,0
14,1,0.142857,0
15,0,0.285714,0
16,0.166667,0.285714,0
17,0.333333,0.285714,0
18,0.5,0.285714,0
19,0.666667,0.285714,0
20,0.833333,0.285714,0
21,1,0.285714,0
22,0,0.428571,0
23,0.166667,0.428571,0
24,0.333333,0.428571,0
25,0.5,0.428571,0
26,0.666667,0.428571,0
27,0.833333,0.428571,0
28,1,0.428571,0
29,0,0.571429,0
30,0.166667,0.571429,0
31,0.333333,0.571429,0
32,0.5,0.571429,0
33,0.666667,0.571429,0
34,0.833333,0.571429,0
35,1,0.571429,0
36,0,0.714286,0
37,0.166667,0.714286,0
38,0.333333,0.714286,0
39,0.5,0.714286,0
40,0.666667,0.714286,0
41,0.833333,0.714286,0
42,1,0.714286,0
43,0,0.857143,0
44,0.166667,0.857143,0
45,0.333333,0.857143,0
46,0.5,0.857143,0
47,0.666667,0.857143,0
48,0.833333,0.857143,0
49,1,0.857143,0
50,0,1,0
51,0.166667,1,0
52,0.333333,1,0
53,0.5,1,0
54,0.666667,1,0
55,0.833333,1,0
56,1,1,0
