k,ka,a_over_lambda,rcs_n1_over_pi_a2,rcs_n5_over_pi_a2,rcs_n10_over_pi_a2,rcs_n50_over_pi_a2
0.1,0.1,0.0159155,0.000899999,0.000898337,0.000898337,0.000898337
0.15,0.15,0.0238732,0.0045562,0.00453732,0.00453732,0.00453732
0.2,0.2,0.031831,0.0143991,0.0142935,0.0142935,0.0142935
0.25,0.25,0.0397887,0.0351477,0.0347471,0.0347471,0.0347471
0.3,0.3,0.0477465,0.0728469,0.0716593,0.0716593,0.0716593
0.35,0.35,0.0557042,0.134808,0.131839,0.131839,0.131839
0.4,0.4,0.063662,0.22946,0.222914,0.222914,0.222914
0.45,0.45,0.0716197,0.366017,0.352914,0.352914,0.352914
0.5,0.5,0.0795775,0.553846,0.529576,0.529576,0.529576
0.55,0.55,0.0875352,0.801374,0.759217,0.759217,0.759217
0.6,0.6,0.095493,1.11441,1.04509,1.04509,1.04509
0.65,0.65,0.103451,1.49389,1.38532,1.38532,1.38532
0.7,0.7,0.111408,1.93343,1.77067,1.77067,1.77067
0.75,0.75,0.119366,2.41741,2.1831,2.1831,2.1831
0.8,0.8,0.127324,2.92074,2.59603,2.59603,2.59603
0.85,0.85,0.135282,3.41144,2.97718,2.97718,2.97718
0.9,0.9,0.143239,3.85578,3.29392,3.29392,3.29392
0.95,0.95,0.151197,4.22488,3.51942,3.51942,3.51942
1,1,0.159155,4.5,3.63757,3.63757,3.63757
1.05,1.05,0.167113,4.67483,3.64461,3.64461,3.64461
1.1,1.1,0.17507,4.75432,3.54774,3.54774,3.54774
1.15,1.15,0.183028,4.75121,3.36161,3.36161,3.36161
1.2,1.2,0.190986,4.68201,3.10464,3.10464,3.10464
1.25,1.25,0.198944,4.56366,2.79606,2.79606,2.79606
1.3,1.3,0.206901,4.41149,2.4543,2.4543,2.4543
1.35,1.35,0.214859,4.23815,2.09634,2.09634,2.09634
1.4,1.4,0.222817,4.05349,1.73774,1.73774,1.73774
1.45,1.45,0.230775,3.86479,1.39297,1.39297,1.39297
1.5,1.5,0.238732,3.67718,1.07561,1.07561,1.07561
1.55,1.55,0.24669,3.49413,0.798364,0.798359,0.798359
1.6,1.6,0.254648,3.31786,0.572704,0.572697,0.572697
1.65,1.65,0.262606,3.1497,0.408191,0.408183,0.408183
1.7,1.7,0.270563,2.9903,0.311543,0.311533,0.311533
1.75,1.75,0.278521,2.8399,0.285684,0.285673,0.285673
1.8,1.8,0.286479,2.69844,0.329025,0.329013,0.329013
1.85,1.85,0.294437,2.56566,0.435224,0.435213,0.435213
1.9,1.9,0.302394,2.44119,0.593564,0.593554,0.593554
1.95,1.95,0.310352,2.32458,0.78992,0.789913,0.789913
2,2,0.31831,2.21538,1.00815,1.00814,1.00814
2.05,2.05,0.326268,2.11311,1.23159,1.2316,1.2316
2.1,2.1,0.334225,2.0173,1.4445,1.44452,1.44452
2.15,2.15,0.342183,1.92748,1.63307,1.63311,1.63311
2.2,2.2,0.350141,1.84325,1.78619,1.78625,1.78625
2.25,2.25,0.358099,1.76418,1.89573,1.89584,1.89584
2.3,2.3,0.366056,1.68991,1.95673,1.95688,1.95688
2.35,2.35,0.374014,1.62008,1.96724,1.96746,1.96746
2.4,2.4,0.381972,1.55437,1.92828,1.92859,1.92859
2.45,2.45,0.38993,1.49247,1.8436,1.84402,1.84402
2.5,2.5,0.397887,1.43413,1.71946,1.72003,1.72003
2.55,2.55,0.405845,1.37907,1.56434,1.5651,1.5651
2.6,2.6,0.413803,1.32707,1.3885,1.3895,1.3895
2.65,2.65,0.421761,1.2779,1.2034,1.20472,1.20472
2.7,2.7,0.429718,1.23139,1.02102,1.02273,1.02273
2.75,2.75,0.437676,1.18734,0.852989,0.855203,0.855203
2.8,2.8,0.445634,1.14558,0.709749,0.712593,0.712593
2.85,2.85,0.453592,1.10597,0.599778,0.603408,0.603408
2.9,2.9,0.461549,1.06836,0.52897,0.533568,0.533568
2.95,2.95,0.469507,1.03262,0.500265,0.506044,0.506044
3,3,0.477465,0.99863,0.513563,0.520765,0.520765
3.05,3.05,0.485423,0.966282,0.565899,0.574795,0.574795
3.1,3.1,0.49338,0.93547,0.65183,0.66271,0.66271
3.15,3.15,0.501338,0.906102,0.763968,0.777138,0.777138
3.2,3.2,0.509296,0.878088,0.893588,0.909354,0.909354
3.25,3.25,0.517254,0.851349,1.03125,1.0499,1.0499
3.3,3.3,0.525211,0.825807,1.1674,1.1892,1.1892
3.35,3.35,0.533169,0.801393,1.29294,1.31809,1.31809
3.4,3.4,0.541127,0.778043,1.39976,1.42837,1.42837
3.45,3.45,0.549085,0.755696,1.48117,1.51321,1.51321
3.5,3.5,0.557042,0.734294,1.53228,1.56756,1.56756
3.55,3.55,0.565,0.713787,1.55035,1.58844,1.58844
3.6,3.6,0.572958,0.694126,1.53492,1.57513,1.57513
3.65,3.65,0.580916,0.675263,1.48789,1.52919,1.52919
3.7,3.7,0.588873,0.657158,1.41338,1.45434,1.45434
3.75,3.75,0.596831,0.63977,1.3175,1.35622,1.35622
3.8,3.8,0.604789,0.623062,1.20783,1.24194,1.24194
3.85,3.85,0.612747,0.606999,1.09299,1.11953,1.11953
3.9,3.9,0.620704,0.591548,0.981927,0.997362,0.997362
3.95,3.95,0.628662,0.576679,0.88334,0.88354,0.88354
4,4,0.63662,0.562363,0.805103,0.785329,0.785329
4.05,4.05,0.644578,0.548573,0.753765,0.708698,0.708698
4.1,4.1,0.652535,0.535283,0.734191,0.657976,0.657976
4.15,4.15,0.660493,0.52247,0.749318,0.635639,0.63564
4.2,4.2,0.668451,0.510111,0.800051,0.64223,0.64223
4.25,4.25,0.676409,0.498185,0.88527,0.676399,0.676399
4.3,4.3,0.684366,0.486673,1.00195,0.735054,0.735054
4.35,4.35,0.692324,0.475554,1.14538,0.813605,0.813606
4.4,4.4,0.700282,0.464812,1.30943,0.906286,0.906287
4.45,4.45,0.708239,0.45443,1.48693,1.00654,1.00654
4.5,4.5,0.716197,0.444391,1.67006,1.10743,1.10744
4.55,4.55,0.724155,0.434681,1.8508,1.20215,1.20215
4.6,4.6,0.732113,0.425286,2.02134,1.28439,1.28439
4.65,4.65,0.74007,0.416192,2.17455,1.34883,1.34883
4.7,4.7,0.748028,0.407386,2.30429,1.39144,1.39145
4.75,4.75,0.755986,0.398857,2.40576,1.40979,1.4098
4.8,4.8,0.763944,0.390593,2.47561,1.40314,1.40315
4.85,4.85,0.771901,0.382583,2.51208,1.37246,1.37247
4.9,4.9,0.779859,0.374817,2.51492,1.32035,1.32036
