lambda_over_k0,abs_d_te
0.0000000000e+00,2.2378129939e+02
5.0000000000e-04,2.2378128010e+02
1.0000000000e-03,2.2378122222e+02
1.5000000000e-03,2.2378112576e+02
2.0000000000e-03,2.2378099072e+02
2.5000000000e-03,2.2378081709e+02
3.0000000000e-03,2.2378060488e+02
3.5000000000e-03,2.2378035408e+02
4.0000000000e-03,2.2378006470e+02
4.5000000000e-03,2.2377973673e+02
5.0000000000e-03,2.2377937018e+02
5.5000000000e-03,2.2377896504e+02
6.0000000000e-03,2.2377852132e+02
6.5000000000e-03,2.2377803901e+02
7.0000000000e-03,2.2377751812e+02
7.5000000000e-03,2.2377695865e+02
8.0000000000e-03,2.2377636059e+02
8.5000000000e-03,2.2377572394e+02
9.0000000000e-03,2.2377504871e+02
9.5000000000e-03,2.2377433489e+02
1.0000000000e-02,2.2377358249e+02
1.0500000000e-02,2.2377279150e+02
1.1000000000e-02,2.2377196192e+02
1.1500000000e-02,2.2377109376e+02
1.2000000000e-02,2.2377018701e+02
1.2500000000e-02,2.2376924168e+02
1.3000000000e-02,2.2376825775e+02
1.3500000000e-02,2.2376723524e+02
1.4000000000e-02,2.2376617415e+02
1.4500000000e-02,2.2376507446e+02
1.5000000000e-02,2.2376393619e+02
1.5500000000e-02,2.2376275933e+02
1.6000000000e-02,2.2376154388e+02
1.6500000000e-02,2.2376028984e+02
1.7000000000e-02,2.2375899721e+02
1.7500000000e-02,2.2375766599e+02
1.8000000000e-02,2.2375629618e+02
1.8500000000e-02,2.2375488779e+02
1.9000000000e-02,2.2375344080e+02
1.9500000000e-02,2.2375195522e+02
2.0000000000e-02,2.2375043105e+02
2.0500000000e-02,2.2374886829e+02
2.1000000000e-02,2.2374726694e+02
2.1500000000e-02,2.2374562699e+02
2.2000000000e-02,2.2374394845e+02
2.2500000000e-02,2.2374223132e+02
2.3000000000e-02,2.2374047560e+02
2.3500000000e-02,2.2373868128e+02
2.4000000000e-02,2.2373684836e+02
2.4500000000e-02,2.2373497686e+02
2.5000000000e-02,2.2373306675e+02
2.5500000000e-02,2.2373111806e+02
2.6000000000e-02,2.2372913076e+02
2.6500000000e-02,2.2372710487e+02
2.7000000000e-02,2.2372504038e+02
2.7500000000e-02,2.2372293730e+02
2.8000000000e-02,2.2372079561e+02
2.8500000000e-02,2.2371861533e+02
2.9000000000e-02,2.2371639645e+02
2.9500000000e-02,2.2371413897e+02
3.0000000000e-02,2.2371184289e+02
3.0500000000e-02,2.2370950821e+02
3.1000000000e-02,2.2370713493e+02
3.1500000000e-02,2.2370472304e+02
3.2000000000e-02,2.2370227256e+02
