lambda_over_k0,re_d_tm,im_d_tm
0.0000000000e+00,-2.8000466800e+03,1.0479223642e+03
5.0000000000e-04,-2.8000460059e+03,1.0479222332e+03
1.0000000000e-03,-2.8000439837e+03,1.0479218402e+03
1.5000000000e-03,-2.8000406133e+03,1.0479211853e+03
2.0000000000e-03,-2.8000358948e+03,1.0479202683e+03
2.5000000000e-03,-2.8000298282e+03,1.0479190894e+03
3.0000000000e-03,-2.8000224135e+03,1.0479176485e+03
3.5000000000e-03,-2.8000136506e+03,1.0479159456e+03
4.0000000000e-03,-2.8000035397e+03,1.0479139808e+03
4.5000000000e-03,-2.7999920808e+03,1.0479117539e+03
5.0000000000e-03,-2.7999792738e+03,1.0479092651e+03
5.5000000000e-03,-2.7999651189e+03,1.0479065142e+03
6.0000000000e-03,-2.7999496160e+03,1.0479035014e+03
6.5000000000e-03,-2.7999327652e+03,1.0479002266e+03
7.0000000000e-03,-2.7999145665e+03,1.0478966898e+03
7.5000000000e-03,-2.7998950199e+03,1.0478928909e+03
8.0000000000e-03,-2.7998741256e+03,1.0478888301e+03
8.5000000000e-03,-2.7998518835e+03,1.0478845073e+03
9.0000000000e-03,-2.7998282938e+03,1.0478799224e+03
9.5000000000e-03,-2.7998033564e+03,1.0478750756e+03
1.0000000000e-02,-2.7997770714e+03,1.0478699667e+03
1.0500000000e-02,-2.7997494390e+03,1.0478645959e+03
1.1000000000e-02,-2.7997204590e+03,1.0478589629e+03
1.1500000000e-02,-2.7996901318e+03,1.0478530680e+03
1.2000000000e-02,-2.7996584572e+03,1.0478469110e+03
1.2500000000e-02,-2.7996254354e+03,1.0478404920e+03
1.3000000000e-02,-2.7995910664e+03,1.0478338110e+03
1.3500000000e-02,-2.7995553504e+03,1.0478268679e+03
1.4000000000e-02,-2.7995182874e+03,1.0478196627e+03
1.4500000000e-02,-2.7994798775e+03,1.0478121955e+03
1.5000000000e-02,-2.7994401207e+03,1.0478044663e+03
1.5500000000e-02,-2.7993990173e+03,1.0477964749e+03
1.6000000000e-02,-2.7993565673e+03,1.0477882215e+03
1.6500000000e-02,-2.7993127708e+03,1.0477797060e+03
1.7000000000e-02,-2.7992676278e+03,1.0477709284e+03
1.7500000000e-02,-2.7992211386e+03,1.0477618888e+03
1.8000000000e-02,-2.7991733031e+03,1.0477525870e+03
1.8500000000e-02,-2.7991241216e+03,1.0477430231e+03
1.9000000000e-02,-2.7990735942e+03,1.0477331971e+03
1.9500000000e-02,-2.7990217209e+03,1.0477231090e+03
2.0000000000e-02,-2.7989685018e+03,1.0477127587e+03
2.0500000000e-02,-2.7989139372e+03,1.0477021463e+03
2.1000000000e-02,-2.7988580272e+03,1.0476912718e+03
2.1500000000e-02,-2.7988007718e+03,1.0476801351e+03
2.2000000000e-02,-2.7987421712e+03,1.0476687363e+03
2.2500000000e-02,-2.7986822255e+03,1.0476570752e+03
2.3000000000e-02,-2.7986209350e+03,1.0476451520e+03
2.3500000000e-02,-2.7985582997e+03,1.0476329666e+03
2.4000000000e-02,-2.7984943197e+03,1.0476205191e+03
