lambda_over_k0,re_integrand,im_integrand
0.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00
5.0000000000e-04,2.6318080416e-04,-3.5236126731e-04
1.0000000000e-03,5.2636111602e-04,-7.0472128890e-04
1.5000000000e-03,7.8954044328e-04,-1.0570788191e-03
2.0000000000e-03,1.0527182936e-03,-1.4094326121e-03
2.5000000000e-03,1.3158941748e-03,-1.7617814223e-03
3.0000000000e-03,1.5790675944e-03,-2.1141240040e-03
3.5000000000e-03,1.8422380602e-03,-2.4664591116e-03
4.0000000000e-03,2.1054050799e-03,-2.8187854993e-03
4.5000000000e-03,2.3685681610e-03,-3.1711019216e-03
5.0000000000e-03,2.6317268113e-03,-3.5234071329e-03
5.5000000000e-03,2.8948805384e-03,-3.8756998877e-03
6.0000000000e-03,3.1580288499e-03,-4.2279789404e-03
6.5000000000e-03,3.4211712535e-03,-4.5802430455e-03
7.0000000000e-03,3.6843072567e-03,-4.9324909577e-03
7.5000000000e-03,3.9474363671e-03,-5.2847214315e-03
8.0000000000e-03,4.2105580923e-03,-5.6369332217e-03
8.5000000000e-03,4.4736719397e-03,-5.9891250828e-03
9.0000000000e-03,4.7367774171e-03,-6.3412957698e-03
9.5000000000e-03,4.9998740317e-03,-6.6934440374e-03
1.0000000000e-02,5.2629612912e-03,-7.0455686406e-03
1.0500000000e-02,5.5260387029e-03,-7.3976683344e-03
1.1000000000e-02,5.7891057742e-03,-7.7497418737e-03
1.1500000000e-02,6.0521620126e-03,-8.1017880137e-03
1.2000000000e-02,6.3152069255e-03,-8.4538055097e-03
1.2500000000e-02,6.5782400201e-03,-8.8057931169e-03
1.3000000000e-02,6.8412608037e-03,-9.1577495907e-03
1.3500000000e-02,7.1042687837e-03,-9.5096736865e-03
1.4000000000e-02,7.3672634671e-03,-9.8615641600e-03
1.4500000000e-02,7.6302443614e-03,-1.0213419767e-02
1.5000000000e-02,7.8932109735e-03,-1.0565239263e-02
1.5500000000e-02,8.1561628106e-03,-1.0917021403e-02
1.6000000000e-02,8.4190993798e-03,-1.1268764945e-02
1.6500000000e-02,8.6820201881e-03,-1.1620468644e-02
1.7000000000e-02,8.9449247426e-03,-1.1972131255e-02
1.7500000000e-02,9.2078125501e-03,-1.2323751537e-02
1.8000000000e-02,9.4706831175e-03,-1.2675328244e-02
1.8500000000e-02,9.7335359518e-03,-1.3026860134e-02
1.9000000000e-02,9.9963705596e-03,-1.3378345963e-02
1.9500000000e-02,1.0259186448e-02,-1.3729784489e-02
2.0000000000e-02,1.0521983123e-02,-1.4081174467e-02
2.0500000000e-02,1.0784760092e-02,-1.4432514656e-02
2.1000000000e-02,1.1047516862e-02,-1.4783803812e-02
2.1500000000e-02,1.1310252938e-02,-1.5135040694e-02
2.2000000000e-02,1.1572967828e-02,-1.5486224057e-02
2.2500000000e-02,1.1835661037e-02,-1.5837352661e-02
2.3000000000e-02,1.2098332073e-02,-1.6188425263e-02
2.3500000000e-02,1.2360980441e-02,-1.6539440622e-02
2.4000000000e-02,1.2623605648e-02,-1.6890397495e-02
2.4500000000e-02,1.2886207199e-02,-1.7241294640e-02
2.5000000000e-02,1.3148784602e-02,-1.7592130817e-02
2.5500000000e-02,1.3411337362e-02,-1.7942904784e-02
2.6000000000e-02,1.3673864985e-02,-1.8293615301e-02
2.6500000000e-02,1.3936366977e-02,-1.8644261125e-02
2.7000000000e-02,1.4198842844e-02,-1.8994841017e-02
2.7500000000e-02,1.4461292091e-02,-1.9345353736e-02
2.8000000000e-02,1.4723714225e-02,-1.9695798042e-02
2.8500000000e-02,1.4986108751e-02,-2.0046172694e-02
2.9000000000e-02,1.5248475174e-02,-2.0396476453e-02
2.9500000000e-02,1.5510813000e-02,-2.0746708079e-02
3.0000000000e-02,1.5773121735e-02,-2.1096866333e-02
3.0500000000e-02,1.6035400883e-02,-2.1446949975e-02
3.1000000000e-02,1.6297649951e-02,-2.1796957766e-02
3.1500000000e-02,1.6559868442e-02,-2.2146888467e-02
3.2000000000e-02,1.6822055863e-02,-2.2496740840e-02
3.2500000000e-02,1.7084211718e-02,-2.2846513647e-02
3.3000000000e-02,1.7346335512e-02,-2.3196205649e-02
3.3500000000e-02,1.7608426750e-02,-2.3545815608e-02
3.4000000000e-02,1.7870484937e-02,-2.3895342288e-02
3.4500000000e-02,1.8132509577e-02,-2.4244784449e-02
3.5000000000e-02,1.8394500175e-02,-2.4594140856e-02
3.5500000000e-02,1.8656456236e-02,-2.4943410271e-02
3.6000000000e-02,1.8918377263e-02,-2.5292591457e-02
3.6500000000e-02,1.9180262761e-02,-2.5641683179e-02
3.7000000000e-02,1.9442112234e-02,-2.5990684200e-02
3.7500000000e-02,1.9703925187e-02,-2.6339593284e-02
3.8000000000e-02,1.9965701123e-02,-2.6688409195e-02
3.8500000000e-02,2.0227439545e-02,-2.7037130699e-02
3.9000000000e-02,2.0489139959e-02,-2.7385756560e-02
3.9500000000e-02,2.0750801868e-02,-2.7734285543e-02
4.0000000000e-02,2.1012424774e-02,-2.8082716415e-02
4.0500000000e-02,2.1274008182e-02,-2.8431047940e-02
4.1000000000e-02,2.1535551595e-02,-2.8779278885e-02
4.1500000000e-02,2.1797054516e-02,-2.9127408016e-02
4.2000000000e-02,2.2058516449e-02,-2.9475434100e-02
4.2500000000e-02,2.2319936896e-02,-2.9823355903e-02
4.3000000000e-02,2.2581315360e-02,-3.0171172194e-02
4.3500000000e-02,2.2842651345e-02,-3.0518881740e-02
4.4000000000e-02,2.3103944352e-02,-3.0866483308e-02
4.4500000000e-02,2.3365193884e-02,-3.1213975668e-02
4.5000000000e-02,2.3626399445e-02,-3.1561357586e-02
4.5500000000e-02,2.3887560535e-02,-3.1908627833e-02
4.6000000000e-02,2.4148676658e-02,-3.2255785178e-02
4.6500000000e-02,2.4409747316e-02,-3.2602828390e-02
4.7000000000e-02,2.4670772010e-02,-3.2949756238e-02
4.7500000000e-02,2.4931750242e-02,-3.3296567494e-02
4.8000000000e-02,2.5192681514e-02,-3.3643260927e-02
