t,re_integrand,im_integrand
0.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00
1.0000000000e-02,-8.3836809346e-01,7.4532021982e-03
2.0000000000e-02,-1.6746701504e+00,2.9777151770e-02
3.0000000000e-02,-2.5068466320e+00,6.6865036585e-02
4.0000000000e-02,-3.3328509523e+00,1.1853936489e-01
5.0000000000e-02,-4.1506558507e+00,1.8455275331e-01
6.0000000000e-02,-4.9582596403e+00,2.6458902078e-01
7.0000000000e-02,-5.7536922928e+00,3.5826457932e-01
8.0000000000e-02,-6.5350213251e+00,4.6513011006e-01
9.0000000000e-02,-7.3003574508e+00,5.8467251111e-01
1.0000000000e-01,-8.0478599671e+00,7.1631710135e-01
1.1000000000e-01,-8.7757418469e+00,8.5943006307e-01
1.2000000000e-01,-9.4822745125e+00,1.0133211043e+00
1.3000000000e-01,-1.0165792269e+01,1.1772463210e+00
1.4000000000e-01,-1.0824696380e+01,1.3504112379e+00
1.5000000000e-01,-1.1457458771e+01,1.5319740066e+00
1.6000000000e-01,-1.2062625356e+01,1.7210487382e+00
1.7000000000e-01,-1.2638818968e+01,1.9167089494e+00
1.8000000000e-01,-1.3184741912e+01,2.1179910988e+00
1.9000000000e-01,-1.3699178120e+01,2.3238981928e+00
2.0000000000e-01,-1.4180994932e+01,2.5334034400e+00
2.1000000000e-01,-1.4629144498e+01,2.7454539335e+00
2.2000000000e-01,-1.5042664814e+01,2.9589743428e+00
2.3000000000e-01,-1.5420680417e+01,3.1728705969e+00
2.4000000000e-01,-1.5762402737e+01,3.3860335429e+00
2.5000000000e-01,-1.6067130138e+01,3.5973425636e+00
2.6000000000e-01,-1.6334247663e+01,3.8056691429e+00
2.7000000000e-01,-1.6563226500e+01,4.0098803641e+00
2.8000000000e-01,-1.6753623197e+01,4.2088423336e+00
2.9000000000e-01,-1.6905078643e+01,4.4014235189e+00
3.0000000000e-01,-1.7017316844e+01,4.5864979946e+00
3.1000000000e-01,-1.7090143505e+01,4.7629485910e+00
3.2000000000e-01,-1.7123444455e+01,4.9296699398e+00
3.3000000000e-01,-1.7117183927e+01,5.0855714149e+00
3.4000000000e-01,-1.7071402715e+01,5.2295799650e+00
3.5000000000e-01,-1.6986216230e+01,5.3606428401e+00
3.6000000000e-01,-1.6861812476e+01,5.4777302085e+00
3.7000000000e-01,-1.6698449961e+01,5.5798376686e+00
3.8000000000e-01,-1.6496455557e+01,5.6659886566e+00
3.9000000000e-01,-1.6256222330e+01,5.7352367512e+00
4.0000000000e-01,-1.5978207351e+01,5.7866678815e+00
4.1000000000e-01,-1.5662929497e+01,5.8194024387e+00
4.2000000000e-01,-1.5310967263e+01,5.8325972972e+00
4.3000000000e-01,-1.4922956577e+01,5.8254477490e+00
4.4000000000e-01,-1.4499588643e+01,5.7971893545e+00
4.5000000000e-01,-1.4041607809e+01,5.7470997154e+00
4.6000000000e-01,-1.3549809467e+01,5.6745001715e+00
4.7000000000e-01,-1.3025037989e+01,5.5787574279e+00
4.8000000000e-01,-1.2468184701e+01,5.4592851132e+00
4.9000000000e-01,-1.1880185901e+01,5.3155452738e+00
5.0000000000e-01,-1.1262020908e+01,5.1470498067e+00
5.1000000000e-01,-1.0614710161e+01,4.9533618321e+00
5.2000000000e-01,-9.9393133519e+00,4.7340970086e+00
5.3000000000e-01,-9.2369275932e+00,4.4889247925e+00
5.4000000000e-01,-8.5086856221e+00,4.2175696404e+00
5.5000000000e-01,-7.7557540337e+00,3.9198121570e+00
5.6000000000e-01,-6.9793315413e+00,3.5954901867e+00
5.7000000000e-01,-6.1806472589e+00,3.2444998488e+00
5.8000000000e-01,-5.3609590015e+00,2.8667965134e+00
5.9000000000e-01,-4.5215516000e+00,2.4623957175e+00
6.0000000000e-01,-3.6637352242e+00,2.0313740184e+00
6.1000000000e-01,-2.7888437110e+00,1.5738697799e+00
6.2000000000e-01,-1.8982328910e+00,1.0900838892e+00
6.3000000000e-01,-9.9327891219e-01,5.8028040055e-01
6.4000000000e-01,-7.5376552994e-02,4.4787099343e-02
6.5000000000e-01,8.5406247699e-01,-5.1600401603e-01
6.6000000000e-01,1.7936112534e+00,-1.1016363413e+00
6.7000000000e-01,2.7418293739e+00,-1.7115883671e+00
6.8000000000e-01,3.6972647181e+00,-2.3452734798e+00
6.9000000000e-01,4.6584552345e+00,-3.0020398680e+00
7.0000000000e-01,5.6239307540e+00,-3.6811705403e+00
7.1000000000e-01,6.5922148357e+00,-4.3818834621e+00
7.2000000000e-01,7.5618266416e+00,-5.1033318159e+00
