lambda_over_k0,re_full,re_subtracted
1.0000000000e+00,-4.0017881021e-01,-1.5037749281e-01
1.0100000000e+00,-3.7841799000e-01,-1.1965112583e-01
1.0200000000e+00,-3.8451693812e-01,-1.1611700981e-01
1.0300000000e+00,-3.9493423477e-01,-1.1615629384e-01
1.0400000000e+00,-4.0775190326e-01,-1.1776111251e-01
1.0500000000e+00,-4.2234924168e-01,-1.2020580735e-01
1.0600000000e+00,-4.3850029377e-01,-1.2314110233e-01
1.0700000000e+00,-4.5615554947e-01,-1.2637160471e-01
1.0800000000e+00,-4.7536867062e-01,-1.2977712309e-01
1.0900000000e+00,-4.9626954647e-01,-1.3327868196e-01
1.1000000000e+00,-5.1905685180e-01,-1.3682179889e-01
1.1100000000e+00,-5.4400141696e-01,-1.4036745641e-01
1.1200000000e+00,-5.7145781144e-01,-1.4388687574e-01
1.1300000000e+00,-6.0188431685e-01,-1.4735832159e-01
1.1400000000e+00,-6.3587340697e-01,-1.5076506087e-01
1.1500000000e+00,-6.7419699284e-01,-1.5409401047e-01
1.1600000000e+00,-7.1787383335e-01,-1.5733481383e-01
1.1700000000e+00,-7.6827178542e-01,-1.6047919372e-01
1.1800000000e+00,-8.2726707450e-01,-1.6352048829e-01
1.1900000000e+00,-8.9750086816e-01,-1.6645331202e-01
1.2000000000e+00,-9.8280987155e-01,-1.6927330340e-01
1.2100000000e+00,-1.0889857772e+00,-1.7197693447e-01
1.2200000000e+00,-1.2251989388e+00,-1.7456136480e-01
1.2300000000e+00,-1.4068793269e+00,-1.7702432823e-01
1.2400000000e+00,-1.6621526543e+00,-1.7936404396e-01
1.2500000000e+00,-2.0482748787e+00,-1.8157914596e-01
1.2600000000e+00,-2.7025163836e+00,-1.8366862641e-01
1.2700000000e+00,-4.0569806165e+00,-1.8563178986e-01
1.2800000000e+00,-8.5480512329e+00,-1.8746821578e-01
1.2900000000e+00,5.2193893878e+01,-1.8917772773e-01
1.3000000000e+00,6.1468107250e+00,-1.9076036775e-01
1.3100000000e+00,3.1805993963e+00,-1.9221637462e-01
1.3200000000e+00,2.1043155494e+00,-1.9354616591e-01
1.3300000000e+00,1.5477553682e+00,-1.9475032231e-01
1.3400000000e+00,1.2075113129e+00,-1.9582957432e-01
1.3500000000e+00,9.7791095919e-01,-1.9678479071e-01
1.3600000000e+00,8.1250110317e-01,-1.9761696836e-01
1.3700000000e+00,6.8766168709e-01,-1.9832722337e-01
1.3800000000e+00,5.9011173188e-01,-1.9891678316e-01
1.3900000000e+00,5.1180993603e-01,-1.9938697940e-01
1.4000000000e+00,4.4760239592e-01,-1.9973924156e-01
1.4100000000e+00,3.9403313143e-01,-1.9997509116e-01
1.4200000000e+00,3.4869785045e-01,-2.0009613642e-01
1.4300000000e+00,3.0987197693e-01,-2.0010406735e-01
1.4400000000e+00,2.7628611653e-01,-2.0000065118e-01
1.4500000000e+00,2.4698500581e-01,-1.9978772813e-01
1.4600000000e+00,2.2123584556e-01,-1.9946720734e-01
1.4700000000e+00,1.9846695892e-01,-1.9904106314e-01
1.4800000000e+00,1.7822568225e-01,-1.9851133140e-01
1.4900000000e+00,1.6014880337e-01,-1.9788010610e-01
1.5000000000e+00,1.4394139181e-01,-1.9714953603e-01
1.5100000000e+00,1.2936136758e-01,-1.9632182159e-01
1.5200000000e+00,1.1620807212e-01,-1.9539921175e-01
1.5300000000e+00,1.0431368106e-01,-1.9438400102e-01
1.5400000000e+00,9.3536667075e-02,-1.9327852659e-01
1.5500000000e+00,8.3756764149e-02,-1.9208516548e-01
1.5600000000e+00,7.4871045619e-02,-1.9080633180e-01
1.5700000000e+00,6.6790839141e-02,-1.8944447404e-01
1.5800000000e+00,5.9439277396e-02,-1.8800207243e-01
1.5900000000e+00,5.2749336902e-02,-1.8648163636e-01
1.6000000000e+00,4.6662255179e-02,-1.8488570179e-01
1.6100000000e+00,4.1126243866e-02,-1.8321682882e-01
1.6200000000e+00,3.6095435249e-02,-1.8147759913e-01
1.6300000000e+00,3.1529014351e-02,-1.7967061365e-01
1.6400000000e+00,2.7390499587e-02,-1.7779849010e-01
1.6500000000e+00,2.3647143228e-02,-1.7586386068e-01
1.6600000000e+00,2.0269429067e-02,-1.7386936974e-01
1.6700000000e+00,1.7230649442e-02,-1.7181767147e-01
1.6800000000e+00,1.4506547428e-02,-1.6971142769e-01
1.6900000000e+00,1.2075012816e-02,-1.6755330560e-01
1.7000000000e+00,9.9158227232e-03,-1.6534597562e-01
1.7100000000e+00,8.0104194252e-03,-1.6309210920e-01
1.7200000000e+00,6.3417193466e-03,-1.6079437671e-01
1.7300000000e+00,4.8939482801e-03,-1.5845544539e-01
1.7400000000e+00,3.6524987517e-03,-1.5607797723e-01
1.7500000000e+00,2.6038061703e-03,-1.5366462697e-01
1.7600000000e+00,1.7352409656e-03,-1.5121804016e-01
1.7700000000e+00,1.0350143851e-03,-1.4874085110e-01
1.7800000000e+00,4.9209599797e-04,-1.4623568101e-01
1.7900000000e+00,9.6141267456e-05,-1.4370513610e-01
1.8000000000e+00,-1.6257219303e-04,-1.4115180572e-01
1.8100000000e+00,-2.9320085029e-04,-1.3857826056e-01
1.8200000000e+00,-3.0438496369e-04,-1.3598705083e-01
1.8300000000e+00,-2.0429262725e-04,-1.3338070456e-01
1.8400000000e+00,-6.5886679239e-07,-1.3076172588e-01
1.8500000000e+00,2.9917958629e-04,-1.2813259332e-01
1.8600000000e+00,6.8825330958e-04,-1.2549575824e-01
1.8700000000e+00,1.1599325314e-03,-1.2285364318e-01
1.8800000000e+00,1.7079024004e-03,-1.2020864032e-01
1.8900000000e+00,2.3261408379e-03,-1.1756311002e-01
1.9000000000e+00,3.0088986711e-03,-1.1491937926e-01
1.9100000000e+00,3.7506817858e-03,-1.1227974030e-01
1.9200000000e+00,4.5462350696e-03,-1.0964644922e-01
1.9300000000e+00,5.3905279454e-03,-1.0702172462e-01
1.9400000000e+00,6.2787413183e-03,-1.0440774627e-01
1.9500000000e+00,7.2062557829e-03,-1.0180665391e-01
1.9600000000e+00,8.1686409539e-03,-9.9220545977e-02
1.9700000000e+00,9.1616457991e-03,-9.6651478453e-02
1.9800000000e+00,1.0181189870e-02,-9.4101463735e-02
1.9900000000e+00,1.1223355336e-02,-9.1572469545e-02
2.0000000000e+00,1.2284379732e-02,-8.9066417888e-02
2.0100000000e+00,1.3360649361e-02,-8.6585184060e-02
2.0200000000e+00,1.4448693264e-02,-8.4130595689e-02
2.0300000000e+00,1.5545177715e-02,-8.1704431837e-02
2.0400000000e+00,1.6646901183e-02,-7.9308422133e-02
2.0500000000e+00,1.7750789708e-02,-7.6944245964e-02
2.0600000000e+00,1.8853892662e-02,-7.4613531702e-02
2.0700000000e+00,1.9953378837e-02,-7.2317855985e-02
2.0800000000e+00,2.1046532852e-02,-7.0058743038e-02
2.0900000000e+00,2.2130751822e-02,-6.7837664047e-02
2.1000000000e+00,2.3203542279e-02,-6.5656036569e-02
2.1100000000e+00,2.4262517311e-02,-6.3515224002e-02
2.1200000000e+00,2.5305393907e-02,-6.1416535089e-02
2.1300000000e+00,2.6329990470e-02,-5.9361223475e-02
2.1400000000e+00,2.7334224498e-02,-5.7350487308e-02
2.1500000000e+00,2.8316110405e-02,-5.5385468886e-02
2.1600000000e+00,2.9273757472e-02,-5.3467254353e-02
2.1700000000e+00,3.0205367912e-02,-5.1596873434e-02
2.1800000000e+00,3.1109235035e-02,-4.9775299224e-02
2.1900000000e+00,3.1983741508e-02,-4.8003448014e-02
2.2000000000e+00,3.2827357692e-02,-4.6282179172e-02
2.2100000000e+00,3.3638640055e-02,-4.4612295055e-02
2.2200000000e+00,3.4416229642e-02,-4.2994540981e-02
2.2300000000e+00,3.5158850604e-02,-4.1429605236e-02
