lambda_over_k0,re_full,re_minus_static,im_full,im_minus_static
2.2383062838e+00,3.5748247400e-02,-1.1994052431e-02,0.0000000000e+00,0.0000000000e+00
2.3383062838e+00,4.0686894665e-02,-9.3323862681e-03,0.0000000000e+00,0.0000000000e+00
2.4383062838e+00,4.1258364971e-02,-6.5673587344e-03,0.0000000000e+00,0.0000000000e+00
2.5383062838e+00,3.7407386752e-02,-4.1261103600e-03,0.0000000000e+00,0.0000000000e+00
2.6383062838e+00,2.9622550183e-02,-2.2230379896e-03,0.0000000000e+00,0.0000000000e+00
2.7383062838e+00,1.8805209060e-02,-9.2084202625e-04,0.0000000000e+00,0.0000000000e+00
2.8383062838e+00,6.1307872567e-03,-1.7982009449e-04,0.0000000000e+00,0.0000000000e+00
2.9383062838e+00,-7.0924429185e-03,1.0182943282e-04,0.0000000000e+00,0.0000000000e+00
3.0383062838e+00,-1.9559560988e-02,5.5632092629e-05,0.0000000000e+00,0.0000000000e+00
3.1383062838e+00,-3.0092001066e-02,-1.8209995694e-04,0.0000000000e+00,0.0000000000e+00
3.2383062838e+00,-3.7739781443e-02,-4.8819382078e-04,0.0000000000e+00,0.0000000000e+00
3.3383062838e+00,-4.1856845404e-02,-7.6410116730e-04,0.0000000000e+00,0.0000000000e+00
3.4383062838e+00,-4.2145444270e-02,-9.4171273956e-04,0.0000000000e+00,0.0000000000e+00
3.5383062838e+00,-3.8667885432e-02,-9.8444714195e-04,0.0000000000e+00,0.0000000000e+00
3.6383062838e+00,-3.1826475801e-02,-8.8467274168e-04,0.0000000000e+00,0.0000000000e+00
3.7383062838e+00,-2.2314897496e-02,-6.5855995470e-04,0.0000000000e+00,0.0000000000e+00
3.8383062838e+00,-1.1046360183e-02,-3.3942513361e-04,0.0000000000e+00,0.0000000000e+00
3.9383062838e+00,9.3448314612e-04,2.9473379555e-05,0.0000000000e+00,0.0000000000e+00
4.0383062838e+00,1.2547818177e-02,4.0187669761e-04,0.0000000000e+00,0.0000000000e+00
4.1383062838e+00,2.2774723595e-02,7.3457641672e-04,0.0000000000e+00,0.0000000000e+00
4.2383062838e+00,3.0744870827e-02,9.9214434520e-04,0.0000000000e+00,0.0000000000e+00
4.3383062838e+00,3.5808690048e-02,1.1501054160e-03,0.0000000000e+00,0.0000000000e+00
4.4383062838e+00,3.7588331840e-02,1.1964981369e-03,0.0000000000e+00,0.0000000000e+00
4.5383062838e+00,3.6003690044e-02,1.1319205864e-03,0.0000000000e+00,0.0000000000e+00
4.6383062838e+00,3.1271948873e-02,9.6828013187e-04,0.0000000000e+00,0.0000000000e+00
4.7383062838e+00,2.3881390593e-02,7.2654791255e-04,0.0000000000e+00,0.0000000000e+00
4.8383062838e+00,1.4542359829e-02,4.3386414222e-04,0.0000000000e+00,0.0000000000e+00
4.9383062838e+00,4.1201496582e-03,1.2034967405e-04,0.0000000000e+00,0.0000000000e+00
5.0383062838e+00,-6.4439973998e-03,-1.8404243749e-04,0.0000000000e+00,0.0000000000e+00
5.1383062838e+00,-1.6216705013e-02,-4.5234830750e-04,0.0000000000e+00,0.0000000000e+00
