eps_r_prime,rho_m,k0_rho,abs_v,normalized_abs_v,re_v,im_v
1.0100000000e+00,4.7713458277e-05,1.0000000000e-02,1.0291879125e+04,5.3891140275e+00,1.0291876985e+04,-6.6370154660e+00
1.0100000000e+00,5.4782379915e-05,1.1481536215e-02,8.9463362869e+03,4.6845503910e+00,8.9463338250e+03,-6.6369942345e+00
1.0100000000e+00,6.2898587893e-05,1.3182567386e-02,7.7744007702e+03,4.0708923743e+00,7.7743979373e+03,-6.6369662459e+00
1.0100000000e+00,7.2217241477e-05,1.5135612484e-02,6.7536638545e+03,3.5364061484e+00,6.7536605933e+03,-6.6369293499e+00
1.0100000000e+00,8.2916487336e-05,1.7378008287e-02,5.8646194555e+03,3.0708777853e+00,5.8646157001e+03,-6.6368807118e+00
1.0100000000e+00,9.5200865217e-05,1.9952623150e-02,5.0902692465e+03,2.6654064887e+00,5.0902649199e+03,-6.6368165946e+00
1.0100000000e+00,1.0930521817e-04,2.2908676528e-02,4.4158132729e+03,2.3122425908e+00,4.4158082856e+03,-6.6367320724e+00
1.0100000000e+00,1.2549918209e-04,2.6302679919e-02,3.8283603623e+03,2.0046359155e+00,3.8283546099e+03,-6.6366206516e+00
1.0100000000e+00,1.4409234041e-04,3.0199517204e-02,3.3166724515e+03,1.7367019002e+00,3.3166658119e+03,-6.6364737724e+00
1.0100000000e+00,1.6544014247e-04,3.4673685045e-02,2.8709827271e+03,1.5033263702e+00,2.8709750572e+03,-6.6362801514e+00
1.0100000000e+00,1.8995069872e-04,3.9810717055e-02,2.4827707455e+03,1.3000477842e+00,2.4827618770e+03,-6.6360249154e+00
1.0100000000e+00,2.1809258264e-04,4.5708818961e-02,2.1446203100e+03,1.1229828155e+00,2.1446100442e+03,-6.6356884596e+00
1.0100000000e+00,2.5040378858e-04,5.2480746025e-02,1.8500741074e+03,9.6875023532e-01,1.8500622088e+03,-6.6352449429e+00
1.0100000000e+00,2.8750201669e-04,6.0255958607e-02,1.5935096774e+03,8.3440596722e-01,1.5934958655e+03,-6.6346603064e+00
1.0100000000e+00,3.3009648166e-04,6.9183097092e-02,1.3700349783e+03,7.1738840206e-01,1.3700189171e+03,-6.6338896614e+00
1.0100000000e+00,3.7900147086e-04,7.9432823472e-02,1.1753932968e+03,6.1546860657e-01,1.1753745817e+03,-6.6328738510e+00
1.0100000000e+00,4.3515191132e-04,9.1201083936e-02,1.0058835242e+03,5.2670857719e-01,1.0058616640e+03,-6.6315349214e+00
1.0100000000e+00,4.9962124288e-04,1.0471285481e-01,8.5829089502e+02,4.4942497342e-01,8.5826528919e+02,-6.6297701627e+00
1.0100000000e+00,5.7364193939e-04,1.2022644346e-01,7.2982466428e+02,3.8215648360e-01,7.2979457217e+02,-6.6274442690e+00
1.0100000000e+00,6.5862907015e-04,1.3803842646e-01,6.1807356121e+02,3.2364049931e-01,6.1803806086e+02,-6.6243790324e+00
1.0100000000e+00,7.5620735212e-04,1.5848931925e-01,5.2094283947e+02,2.7278015314e-01,5.2090077087e+02,-6.6203398069e+00
1.0100000000e+00,8.6824220994e-04,1.8197008586e-01,4.3664262994e+02,2.2863821986e-01,4.3659251920e+02,-6.6150177520e+00
1.0100000000e+00,9.9687543768e-04,2.0892961309e-01,3.6362649276e+02,1.9040494055e-01,3.6356644577e+02,-6.6080065747e+00
1.0100000000e+00,1.1445661439e-03,2.3988329190e-01,3.0057502283e+02,1.5738943804e-01,3.0050257995e+02,-6.5987721317e+00
1.0100000000e+00,1.3141377632e-03,2.7542287033e-01,2.4635950174e+02,1.2900068399e-01,2.4627143690e+02,-6.5866128105e+00
1.0100000000e+00,1.5088320320e-03,3.1622776602e-01,2.0001963637e+02,1.0473584222e-01,1.9991168561e+02,-6.5706080861e+00
1.0100000000e+00,1.7323709618e-03,3.6307805477e-01,1.6070297969e+02,8.4148547766e-02,1.6056945865e+02,-6.5495520644e+00
1.0100000000e+00,1.9890279935e-03,4.1686938347e-01,1.2768547461e+02,6.6859664208e-02,1.2751880513e+02,-6.5218682215e+00
1.0100000000e+00,2.2837096940e-03,4.7863009232e-01,1.0028813853e+02,5.2513657380e-02,1.0007821444e+02,-6.4855010574e+00
1.0100000000e+00,2.6220495556e-03,5.4954087386e-01,7.7871645971e+01,4.0775758689e-02,7.7605078647e+01,-6.4377802324e+00
1.0100000000e+00,3.0105156930e-03,6.3095734448e-01,5.9814194466e+01,3.1320375078e-02,5.9473473109e+01,-6.3752534092e+00
1.0100000000e+00,3.4565344955e-03,7.2443596007e-01,4.5503729121e+01,2.3827017587e-02,4.5066408274e+01,-6.2935053209e+00
1.0100000000e+00,3.9686325989e-03,8.3176377110e-01,3.4341001657e+01,1.7981903159e-02,3.3779098331e+01,-6.1868336629e+00
1.0100000000e+00,4.5565998908e-03,9.5499258602e-01,2.5762111323e+01,1.3489757684e-02,2.5042078721e+01,-6.0481958612e+00
