b,rho_m,k_rho,abs_v,normalized_abs_v,re_v,im_v
8.0000000000e-01,1.5088320320e-05,1.0000000000e-02,6.0370550000e+03,1.0000000000e+00,6.0356009528e+03,1.3249230472e+02
8.0000000000e-01,1.6167426506e-05,1.0715193052e-02,5.6350039868e+03,9.3340279107e-01,5.6334461694e+03,1.3249222081e+02
8.0000000000e-01,1.7323709618e-05,1.1481536215e-02,5.2598018602e+03,8.7125293049e-01,5.2581328859e+03,1.3249212446e+02
8.0000000000e-01,1.8562689294e-05,1.2302687708e-02,4.9096575330e+03,8.1325373596e-01,4.9078694927e+03,1.3249201385e+02
8.0000000000e-01,1.9890279935e-05,1.3182567386e-02,4.5828995366e+03,7.5912833934e-01,4.5809839623e+03,1.3249188685e+02
8.0000000000e-01,2.1312818937e-05,1.4125375446e-02,4.2779680442e+03,7.0861836512e-01,4.2759158698e+03,1.3249174103e+02
8.0000000000e-01,2.2837096940e-05,1.5135612484e-02,3.9934074254e+03,6.6148269735e-01,3.9912089457e+03,1.3249157360e+02
8.0000000000e-01,2.4470390247e-05,1.6218100974e-02,3.7278592997e+03,6.1749632888e-01,3.7255041259e+03,1.3249138138e+02
8.0000000000e-01,2.6220495556e-05,1.7378008287e-02,3.4800560532e+03,5.7644928747e-01,3.4775330661e+03,1.3249116067e+02
8.0000000000e-01,2.8095767181e-05,1.8620871367e-02,3.2488147883e+03,5.3814563365e-01,3.2461120881e+03,1.3249090727e+02
8.0000000000e-01,3.0105156930e-05,1.9952623150e-02,3.0330352221e+03,5.0240311246e-01,3.0301400784e+03,1.3249061632e+02
8.0000000000e-01,3.2258256838e-05,2.1379620895e-02,2.8316818881e+03,4.6905020546e-01,2.8285806760e+03,1.3249028227e+02
8.0000000000e-01,3.4565344955e-05,2.2908676528e-02,2.6437952194e+03,4.3792796644e-01,2.6404733646e+03,1.3248989873e+02
8.0000000000e-01,3.7037434412e-05,2.4547089157e-02,2.4684782611e+03,4.0888782048e-01,2.4649201749e+03,1.3248945836e+02
8.0000000000e-01,3.9686325989e-05,2.6302679919e-02,2.3048940629e+03,3.8179113209e-01,2.3010830751e+03,1.3248895276e+02
8.0000000000e-01,4.2524664451e-05,2.8183829313e-02,2.1522616865e+03,3.5650854375e-01,2.1481799735e+03,1.3248837225e+02
8.0000000000e-01,4.5565998908e-05,3.0199517204e-02,2.0098524794e+03,3.3291935877e-01,2.0054809889e+03,1.3248770574e+02
8.0000000000e-01,4.8824847492e-05,3.2359365693e-02,1.8769865986e+03,3.1091096546e-01,1.8723049703e+03,1.3248694048e+02
8.0000000000e-01,5.2316766663e-05,3.4673685045e-02,1.7530297668e+03,2.9037829981e-01,1.7480162490e+03,1.3248606185e+02
8.0000000000e-01,5.6058425467e-05,3.7153522910e-02,1.6373902450e+03,2.7122334400e-01,1.6320216068e+03,1.3248505305e+02
8.0000000000e-01,6.0067685109e-05,3.9810717055e-02,1.5295160060e+03,2.5335465819e-01,1.5237674463e+03,1.3248389479e+02
8.0000000000e-01,6.4363684216e-05,4.2657951880e-02,1.4288920939e+03,2.3668694321e-01,1.4227371458e+03,1.3248256495e+02
8.0000000000e-01,6.8966930193e-05,4.5708818961e-02,1.3350381568e+03,2.2114063178e-01,1.3284485894e+03,1.3248103809e+02
8.0000000000e-01,7.3899397125e-05,4.8977881937e-02,1.2475061383e+03,2.0664150622e-01,1.2404518549e+03,1.3247928503e+02
8.0000000000e-01,7.9184630665e-05,5.2480746025e-02,1.1658939182e+03,1.9312295783e-01,1.1583429547e+03,1.3247727226e+02
8.0000000000e-01,8.4847860436e-05,5.6234132519e-02,1.0897799804e+03,1.8051516516e-01,1.0816981050e+03,1.3247496131e+02
8.0000000000e-01,9.0916120465e-05,6.0255958607e-02,1.0188155551e+03,1.6876035668e-01,1.0101664332e+03,1.3247230801e+02
8.0000000000e-01,9.7418378235e-05,6.4565422903e-02,9.5266158274e+02,1.5780236933e-01,9.4340658570e+02,1.3246926164e+02
8.0000000000e-01,1.0438567296e-04,6.9183097092e-02,8.9100194042e+02,1.4758883933e-01,8.8110003927e+02,1.3246576399e+02
8.0000000000e-01,1.1185126377e-04,7.4131024130e-02,8.3354192371e+02,1.3807095077e-01,8.2294958767e+02,1.3246174819e+02
8.0000000000e-01,1.1985078845e-04,7.9432823472e-02,7.8000682553e+02,1.2920320016e-01,7.6867792644e+02,1.3245713752e+02
8.0000000000e-01,1.2842243357e-04,8.5113803820e-02,7.3014060193e+02,1.2094317543e-01,7.1802632796e+02,1.3245184385e+02
8.0000000000e-01,1.3760711679e-04,9.1201083936e-02,6.8370461583e+02,1.1325134786e-01,6.7075339788e+02,1.3244576603e+02
8.0000000000e-01,1.4744868218e-04,9.7723722096e-02,6.4047645013e+02,1.0609087546e-01,6.2663390478e+02,1.3243878792e+02
8.0000000000e-01,1.5799410949e-04,1.0471285481e-01,6.0024878267e+02,9.9427416625e-02,5.8545767620e+02,1.3243077619e+02
8.0000000000e-01,1.6929373843e-04,1.1220184543e-01,5.6282831799e+02,9.3228953188e-02,5.4702855617e+02,1.3242157778e+02
8.0000000000e-01,1.8140150899e-04,1.2022644346e-01,5.2806321691e+02,8.7470333949e-02,5.1119280476e+02,1.3241101697e+02
8.0000000000e-01,1.9437521888e-04,1.2882495517e-01,4.9572406799e+02,8.2113558347e-02,4.7771632270e+02,1.3239889203e+02
8.0000000000e-01,2.0827679949e-04,1.3803842646e-01,4.6568503267e+02,7.7137782027e-02,4.4647146494e+02,1.3238497138e+02
8.0000000000e-01,2.2317261148e-04,1.4791083882e-01,4.3780011392e+02,7.2518821498e-02,4.1730970567e+02,1.3236898919e+02
8.0000000000e-01,2.3913376161e-04,1.5848931925e-01,4.1193317410e+02,6.8234126424e-02,3.9009261455e+02,1.3235064032e+02
8.0000000000e-01,2.5623644209e-04,1.6982436525e-01,3.8795719608e+02,6.4262657219e-02,3.6469119774e+02,1.3232957448e+02
8.0000000000e-01,2.7456229441e-04,1.8197008586e-01,3.6575916621e+02,6.0585693888e-02,3.4099127781e+02,1.3230538962e+02
8.0000000000e-01,2.9419879895e-04,1.9498445998e-01,3.4521949901e+02,5.7183427849e-02,3.1887165539e+02,1.3227762427e+02
8.0000000000e-01,3.1523969265e-04,2.0892961309e-01,3.2623560021e+02,5.4038865011e-02,2.9822932245e+02,1.3224574880e+02
8.0000000000e-01,3.3778541646e-04,2.2387211386e-01,3.0871040042e+02,5.1135926445e-02,2.7896747225e+02,1.3220915535e+02
8.0000000000e-01,3.6194359476e-04,2.3988329190e-01,2.9255258337e+02,4.8459486184e-02,2.6099589931e+02,1.3216714637e+02
8.0000000000e-01,3.8782954919e-04,2.5703957828e-01,2.7771421749e+02,4.6001604672e-02,2.4427397979e+02,1.3211892141e+02
8.0000000000e-01,4.1556684910e-04,2.7542287033e-01,2.6402668678e+02,4.3734351729e-02,2.2862481692e+02,1.3206356205e+02
8.0000000000e-01,4.4528790143e-04,2.9512092267e-01,2.5145843658e+02,4.1652500528e-02,2.1402649715e+02,1.3200001455e+02
8.0000000000e-01,4.7713458277e-04,3.1622776602e-01,2.3992782536e+02,3.9742527666e-02,2.0040112162e+02,1.3192707014e+02
8.0000000000e-01,5.1125891663e-04,3.3884415614e-01,2.2939387956e+02,3.7997646130e-02,1.8772023084e+02,1.3184334231e+02
8.0000000000e-01,5.4782379915e-04,3.6307805477e-01,2.1976846509e+02,3.6403257067e-02,1.7590009309e+02,1.3174724096e+02
8.0000000000e-01,5.8700377666e-04,3.8904514499e-01,2.1098809900e+02,3.4948844925e-02,1.6488691039e+02,1.3163694277e+02
8.0000000000e-01,6.2898587893e-04,4.1686938347e-01,2.0299267784e+02,3.3624453950e-02,1.5463199263e+02,1.3151035744e+02
8.0000000000e-01,6.7397051200e-04,4.4668359215e-01,1.9572496270e+02,3.2420602877e-02,1.4509126226e+02,1.3136508912e+02
