b,rho_m,k_rho,phase_deg
8.0000000000e-01,1.5088320320e-05,1.0000000000e-02,1.2575435204e+00
8.0000000000e-01,1.6167426506e-05,1.0715193052e-02,1.3472829315e+00
8.0000000000e-01,1.7323709618e-05,1.1481536215e-02,1.4434084730e+00
8.0000000000e-01,1.8562689294e-05,1.2302687708e-02,1.5463715834e+00
8.0000000000e-01,1.9890279935e-05,1.3182567386e-02,1.6566550761e+00
8.0000000000e-01,2.1312818937e-05,1.4125375446e-02,1.7747752183e+00
8.0000000000e-01,2.2837096940e-05,1.5135612484e-02,1.9012839268e+00
8.0000000000e-01,2.4470390247e-05,1.6218100974e-02,2.0367710836e+00
8.0000000000e-01,2.6220495556e-05,1.7378008287e-02,2.1818669707e+00
8.0000000000e-01,2.8095767181e-05,1.8620871367e-02,2.3372448249e+00
8.0000000000e-01,3.0105156930e-05,1.9952623150e-02,2.5036205820e+00
8.0000000000e-01,3.2258256838e-05,2.1379620895e-02,2.6817653763e+00
8.0000000000e-01,3.4565344955e-05,2.2908676528e-02,2.8724966700e+00
8.0000000000e-01,3.7037434412e-05,2.4547089157e-02,3.0766874898e+00
8.0000000000e-01,3.9686325989e-05,2.6302679919e-02,3.2952683097e+00
8.0000000000e-01,4.2524664451e-05,2.8183829313e-02,3.5292301989e+00
8.0000000000e-01,4.5565998908e-05,3.0199517204e-02,3.7796280020e+00
8.0000000000e-01,4.8824847492e-05,3.2359365693e-02,4.0475835117e+00
8.0000000000e-01,5.2316766663e-05,3.4673685045e-02,4.3342885891e+00
8.0000000000e-01,5.6058425467e-05,3.7153522910e-02,4.6410081689e+00
8.0000000000e-01,6.0067685109e-05,3.9810717055e-02,4.9690830783e+00
8.0000000000e-01,6.4363684216e-05,4.2657951880e-02,5.3199325805e+00
8.0000000000e-01,6.8966930193e-05,4.5708818961e-02,5.6950565420e+00
8.0000000000e-01,7.3899397125e-05,4.8977881937e-02,6.0960371044e+00
8.0000000000e-01,7.9184630665e-05,5.2480746025e-02,6.5244509197e+00
8.0000000000e-01,8.4847860436e-05,5.6234132519e-02,6.9822123890e+00
8.0000000000e-01,9.0916120465e-05,6.0255958607e-02,7.4710832249e+00
8.0000000000e-01,9.7418378235e-05,6.4565422903e-02,7.9929789178e+00
8.0000000000e-01,1.0438567296e-04,6.9183097092e-02,8.5498918525e+00
8.0000000000e-01,1.1185126377e-04,7.4131024130e-02,9.1438851129e+00
8.0000000000e-01,1.1985078845e-04,7.9432823472e-02,9.7770836983e+00
8.0000000000e-01,1.2842243357e-04,8.5113803820e-02,1.0451662677e+01
8.0000000000e-01,1.3760711679e-04,9.1201083936e-02,1.1169831793e+01
8.0000000000e-01,1.4744868218e-04,9.7723722096e-02,1.1933816049e+01
8.0000000000e-01,1.5799410949e-04,1.0471285481e-01,1.2745831847e+01
