z,V_fem,V_analitico
0.0000000000,-1.0028572868,-1.0000000000
0.0128205128,-0.9740909721,-0.9967573081
0.0256410256,-0.9453246573,-0.9870502626
0.0384615385,-0.9165583425,-0.9709418174
0.0512820513,-0.8877920277,-0.9485364419
0.0641025641,-0.8590257129,-0.9199794437
0.0769230769,-0.8302593981,-0.8854560257
0.0897435897,-0.8014930833,-0.8451900855
0.1025641026,-0.7727267685,-0.7994427634
0.1153846154,-0.7439604537,-0.7485107482
0.1282051282,-0.7048335546,-0.6927243535
0.1410256410,-0.6346249026,-0.6324453756
0.1538461538,-0.5644162505,-0.5680647467
0.1666666667,-0.4942075985,-0.5000000000
0.1794871795,-0.4239989464,-0.4286925614
0.1923076923,-0.3537902944,-0.3546048870
0.2051282051,-0.2835816423,-0.2782174639
0.2179487179,-0.2133729903,-0.2000256938
0.2307692308,-0.1431643383,-0.1205366803
0.2435897436,-0.0729556862,-0.0402659401
0.2564102564,-0.0016612923,0.0402659401
0.2692307692,0.0707188435,0.1205366803
0.2820512821,0.1430989793,0.2000256938
0.2948717949,0.2154791151,0.2782174639
0.3076923077,0.2878592508,0.3546048870
0.3205128205,0.3602393866,0.4286925614
0.3333333333,0.4326195224,0.5000000000
0.3461538462,0.5049996582,0.5680647467
0.3589743590,0.5773797940,0.6324453756
0.3717948718,0.6497599297,0.6927243535
0.3846153846,0.6934045819,0.7485107482
0.3974358974,0.7274707394,0.7994427634
0.4102564103,0.7615368970,0.8451900855
0.4230769231,0.7956030546,0.8854560257
0.4358974359,0.8296692121,0.9199794437
0.4487179487,0.8637353697,0.9485364419
0.4615384615,0.8978015273,0.9709418174
0.4743589744,0.9318676849,0.9870502626
0.4871794872,0.9659338424,0.9967573081
0.5000000000,1.0000000000,1.0000000000
