rank,kind,kc,internal_index,relative_error
1,spurious,0.0000000000e+00,0,-1.0000000000e+00
2,spurious,0.0000000000e+00,1,-1.0000000000e+00
3,spurious,0.0000000000e+00,2,-1.0000000000e+00
4,spurious,0.0000000000e+00,3,-1.0000000000e+00
5,spurious,0.0000000000e+00,4,-1.0000000000e+00
6,spurious,0.0000000000e+00,5,-1.0000000000e+00
7,spurious,0.0000000000e+00,6,-1.0000000000e+00
8,spurious,0.0000000000e+00,7,-1.0000000000e+00
9,spurious,0.0000000000e+00,8,-1.0000000000e+00
10,spurious,0.0000000000e+00,9,-1.0000000000e+00
11,spurious,0.0000000000e+00,10,-1.0000000000e+00
12,spurious,0.0000000000e+00,11,-1.0000000000e+00
13,spurious,0.0000000000e+00,12,-1.0000000000e+00
14,spurious,0.0000000000e+00,13,-1.0000000000e+00
15,spurious,0.0000000000e+00,14,-1.0000000000e+00
16,spurious,0.0000000000e+00,15,-1.0000000000e+00
17,spurious,0.0000000000e+00,16,-1.0000000000e+00
18,spurious,0.0000000000e+00,17,-1.0000000000e+00
19,spurious,0.0000000000e+00,18,-1.0000000000e+00
20,spurious,0.0000000000e+00,19,-1.0000000000e+00
21,spurious,0.0000000000e+00,20,-1.0000000000e+00
22,physical,1.3722437922e+02,21,1.4780224833e-03
23,physical,2.7317649082e+02,22,6.1068908692e-03
24,physical,3.0555331866e+02,23,1.1831876395e-02
25,physical,3.3711312103e+02,24,3.7321081575e-03
26,physical,4.0562163988e+02,25,1.6156059460e-02
27,physical,4.1765866149e+02,26,9.5407082057e-03
28,physical,5.1849807435e+02,27,6.1025122506e-03
29,physical,5.3741480388e+02,28,2.2366696499e-02
30,physical,5.8977908467e+02,29,-1.0000000000e+00
31,physical,6.0863015488e+02,30,-1.0000000000e+00
32,physical,6.3154365981e+02,31,-1.0000000000e+00
33,physical,6.5961010089e+02,32,-1.0000000000e+00
34,physical,6.6518009325e+02,33,-1.0000000000e+00
35,physical,7.4135894619e+02,34,-1.0000000000e+00
36,physical,7.4657491680e+02,35,-1.0000000000e+00
37,physical,7.6904058763e+02,36,-1.0000000000e+00
38,physical,8.2513043167e+02,37,-1.0000000000e+00
39,physical,8.3498938250e+02,38,-1.0000000000e+00
40,physical,8.4035293410e+02,39,-1.0000000000e+00
41,physical,8.5037779990e+02,40,-1.0000000000e+00
42,physical,8.5518487726e+02,41,-1.0000000000e+00
43,physical,8.9091728532e+02,42,-1.0000000000e+00
44,physical,9.3018373557e+02,43,-1.0000000000e+00
45,physical,9.4347269918e+02,44,-1.0000000000e+00
46,physical,9.6563886604e+02,45,-1.0000000000e+00
47,physical,1.0326734274e+03,46,-1.0000000000e+00
48,physical,1.0538728044e+03,47,-1.0000000000e+00
49,physical,1.1037172081e+03,48,-1.0000000000e+00
50,physical,1.1421640255e+03,49,-1.0000000000e+00
51,physical,1.2066856366e+03,50,-1.0000000000e+00
52,physical,1.2362834827e+03,51,-1.0000000000e+00
53,physical,1.2813798494e+03,52,-1.0000000000e+00
54,physical,1.2991918312e+03,53,-1.0000000000e+00
55,physical,1.3306153692e+03,54,-1.0000000000e+00
56,physical,1.3753381296e+03,55,-1.0000000000e+00
57,physical,1.4309966453e+03,56,-1.0000000000e+00
58,physical,1.4807674003e+03,57,-1.0000000000e+00
59,physical,1.5074733085e+03,58,-1.0000000000e+00
60,physical,1.5275780421e+03,59,-1.0000000000e+00
61,physical,1.5371580321e+03,60,-1.0000000000e+00
62,physical,1.5384407285e+03,61,-1.0000000000e+00
63,physical,1.5748432334e+03,62,-1.0000000000e+00
64,physical,1.5770139096e+03,63,-1.0000000000e+00
65,physical,1.6056196866e+03,64,-1.0000000000e+00
66,physical,1.6058637477e+03,65,-1.0000000000e+00
67,physical,1.6332064331e+03,66,-1.0000000000e+00
68,physical,1.6421809987e+03,67,-1.0000000000e+00
69,physical,1.6585095923e+03,68,-1.0000000000e+00
70,physical,1.6620533265e+03,69,-1.0000000000e+00
71,physical,1.6951785426e+03,70,-1.0000000000e+00
72,physical,1.7107997155e+03,71,-1.0000000000e+00
73,physical,1.7481255094e+03,72,-1.0000000000e+00
74,physical,1.7656321678e+03,73,-1.0000000000e+00
75,physical,1.8106879385e+03,74,-1.0000000000e+00
76,physical,1.8162845503e+03,75,-1.0000000000e+00
77,physical,1.8680435911e+03,76,-1.0000000000e+00
78,physical,1.8792336932e+03,77,-1.0000000000e+00
79,physical,1.9236052278e+03,78,-1.0000000000e+00
80,physical,1.9270414251e+03,79,-1.0000000000e+00
81,physical,1.9825477653e+03,80,-1.0000000000e+00
82,physical,2.0392905723e+03,81,-1.0000000000e+00
83,physical,2.0896739434e+03,82,-1.0000000000e+00
84,physical,2.1241480425e+03,83,-1.0000000000e+00
