x,y,Ex,Ey
0,0,0,0
0,0.0454545,0,0
0,0.0909091,0,0
0,0.136364,0,-0.0178959
0,0.181818,0,-0.0223563
0,0.227273,0,-0.0268168
0,0.272727,0,-0.13507
0,0.318182,0,-0.109163
0,0.363636,0,-0.0832558
0,0.409091,0,-0.227483
0,0.454545,0,-0.204801
0,0.5,0,-0.182119
0.047619,0,0,0
0.047619,0.0454545,0,0
0.047619,0.0909091,0.00827625,-0.00646016
0.047619,0.136364,0.00639266,-0.0128864
0.047619,0.181818,0.00639266,-0.0173469
0.047619,0.227273,0.00877128,0.0372109
0.047619,0.272727,0.05639,-0.0859924
0.047619,0.318182,0.05639,-0.0600853
0.047619,0.363636,0.0335911,0.0817659
0.047619,0.409091,0.093141,-0.160359
0.047619,0.454545,0.118658,-0.0652904
0.047619,0.5,0.148658,-0.148658
0.0952381,0,0,0
0.0952381,0.0454545,0.0132984,-0.0111918
0.0952381,0.0909091,0.0347051,-0.0264964
0.0952381,0.136364,0.0127853,-0.00787692
0.0952381,0.181818,0.00538935,0.0462101
0.0952381,0.227273,0.00860754,0.0867159
0.0952381,0.272727,0.11278,-0.0369147
0.0952381,0.318182,0.0170218,0.105701
0.0952381,0.363636,0.0222796,0.162933
0.0952381,0.409091,0.0551982,0.0515379
0.0952381,0.454545,0.0851977,-0.0318297
0.0952381,0.5,0.115197,-0.115197
0.142857,0,-0.00719428,0
0.142857,0.0454545,-0.028601,0.000287151
0.142857,0.0909091,-0.0500077,0.000574301
0.142857,0.136364,-0.024777,0.221883
0.142857,0.181818,-0.0279952,0.319767
0.142857,0.227273,-0.0312134,0.417652
0.142857,0.272727,-0.0421037,0.570304
0.142857,0.318182,-0.0473615,0.891914
0.142857,0.363636,-1.15641,0.983393
0.142857,0.409091,-0.046917,0.750008
0.142857,0.454545,-0.0769165,1.2938
0.142857,0.5,-1.76222,1.76222
0.190476,0,-0.00395295,0
0.190476,0.0454545,-0.0253596,0.000287151
0.190476,0.0909091,0.0354172,-0.0912183
0.190476,0.136364,-0.0853322,0.161328
0.190476,0.181818,-0.0885504,0.259212
0.190476,0.227273,-0.402648,0.155016
0.190476,0.272727,-0.141862,0.533603
0.190476,0.318182,-0.840852,0.345035
0.190476,0.363636,-1.22349,0.958156
0.190476,0.409091,-0.0806016,0.895128
0.190476,0.454545,-1.26003,0.834769
0.190476,0.5,-1.70636,1.70636
0.238095,0,-0.000711623,0
0.238095,0.0454545,0.0178331,-0.0777548
0.238095,0.0909091,0.0258954,-0.166033
0.238095,0.136364,-0.145887,0.100773
0.238095,0.181818,-0.318551,-0.0681863
0.238095,0.227273,-0.473783,0.083686
0.238095,0.272727,-0.525296,-0.293324
0.238095,0.318182,-0.90793,0.319797
0.238095,0.363636,-1.29056,0.932918
0.238095,0.409091,-0.757842,-0.0926791
0.238095,0.454545,-1.20417,0.778907
0.238095,0.5,-1.65049,1.65049
0.285714,0,0.136769,0
0.285714,0.0454545,0.128707,0.723155
0.285714,0.0909091,-0.579201,-0.0108443
0.285714,0.136364,-0.48156,3.08981
0.285714,0.181818,-0.326329,3.90242
0.285714,0.227273,-2.72569,0.42382
0.285714,0.272727,-0.877645,5.412
0.285714,0.318182,-0.49501,5.55769
0.285714,0.363636,-3.60925,0.94555
0.285714,0.409091,-0.684513,3.83388
0.285714,0.454545,-0.238187,2.79602
0.285714,0.5,-1.86616,1.86616
0.333333,0,0.328983,0
0.333333,0.0454545,-0.535558,-0.841215
0.333333,0.0909091,-0.815767,-1.17287
0.333333,0.136364,-1.36511,1.94874
0.333333,0.181818,-1.51841,-2.71715
0.333333,0.227273,-1.74657,-2.69133
0.333333,0.272727,-2.77059,3.51905
0.333333,0.318182,-1.60558,-3.26882
0.333333,0.363636,-1.54069,-2.6583
0.333333,0.409091,-2.58903,2.00062
0.333333,0.454545,-0.472616,-0.844139
0.333333,0.5,-0.176881,0.176881
0.380952,0,0.406844,0
0.380952,0.0454545,0.687053,-0.681856
0.380952,0.0909091,0.967262,-1.36371
0.380952,0.136364,0.506953,-2.51512
0.380952,0.181818,0.73512,-2.38828
0.380952,0.227273,0.963286,-2.26144
0.380952,0.272727,-0.0830107,-0.551179
0.380952,0.318182,-0.147904,0.0254455
0.380952,0.363636,-0.212796,0.60207
0.380952,0.409091,-0.757424,1.05019
0.380952,0.454545,-1.05316,0.840389
0.380952,0.5,-0.642279,0.642279
0.428571,0,-0.0371591,0
0.428571,0.0454545,0.24305,-0.681856
0.428571,0.0909091,0.519764,0.425688
0.428571,0.136364,1.09444,-1.61193
0.428571,0.181818,1.32261,-1.48509
0.428571,0.227273,1.10596,-0.426581
0.428571,0.272727,0.36906,-0.145827
0.428571,0.318182,0.304167,0.430798
0.428571,0.363636,-0.0954564,-0.793769
0.428571,0.409091,-1.1387,0.668911
0.428571,0.454545,-0.368541,0.111389
0.428571,0.5,-0.35452,0.35452
0.47619,0,-0.481163,0
0.47619,0.0454545,0.502274,1.17326
0.47619,0.0909091,0.65413,1.35236
0.47619,0.136364,1.68193,-0.708747
0.47619,0.181818,0.393001,1.09929
0.47619,0.227273,0.403435,0.548873
0.47619,0.272727,0.821131,0.259525
0.47619,0.318182,-0.26441,-0.695397
0.47619,0.363636,-0.357446,-1.02983
0.47619,0.409091,-0.0948036,-0.419501
0.47619,0.454545,-0.0807818,-0.176371
0.47619,0.5,-0.06676,0.06676
0.52381,0,-0.438702,0
0.52381,0.0454545,-0.590558,-0.384276
0.52381,0.0909091,-0.742413,-0.768552
0.52381,0.136364,0.117632,-0.946393
0.52381,0.181818,0.107197,-0.823301
0.52381,0.227273,0.668764,-0.512943
0.52381,0.272727,0.370617,0.379045
0.52381,0.318182,0.463653,0.78485
0.52381,0.363636,-0.460497,-0.0185961
0.52381,0.409091,-0.217075,0.870561
0.52381,0.454545,-0.231097,0.662665
0.52381,0.5,-0.444791,0.444791
0.571429,0,-0.480903,0
0.571429,0.0454545,-0.632759,-0.384276
0.571429,0.0909091,0.327578,0.311632
0.571429,0.136364,0.415501,-0.536184
0.571429,0.181818,0.299285,0.172072
0.571429,0.227273,0.274567,-0.123939
0.571429,0.272727,0.507114,0.444327
0.571429,0.318182,-0.383265,-0.417305
0.571429,0.363636,-0.443039,-0.390474
0.571429,0.409091,-0.553073,0.500423
0.571429,0.454545,-0.107082,-0.177972
0.571429,0.5,-0.0546961,0.0546961
0.619048,0,-0.523105,0
0.619048,0.0454545,0.303549,0.740285
0.619048,0.0909091,0.358611,0.728255
0.619048,0.136364,-0.0701943,0.857087
0.619048,0.181818,-0.094912,0.561076
0.619048,0.227273,-0.11963,0.265066
0.619048,0.272727,-0.306034,-0.816013
0.619048,0.318182,-0.365808,-0.789183
0.619048,0.363636,-0.425582,-0.762352
0.619048,0.409091,0.230627,-0.800735
0.619048,0.454545,0.283013,-0.568067
0.619048,0.5,0.335398,-0.335398
0.666667,0,-0.138014,0
0.666667,0.0454545,-0.193075,0.0527666
0.666667,0.0909091,0.118337,-0.186696
0.666667,0.136364,0.0412725,0.361505
0.666667,0.181818,0.0659902,0.386314
0.666667,0.227273,-0.292764,0.143997
0.666667,0.272727,0.148988,0.154777
0.666667,0.318182,0.208762,0.0478213
0.666667,0.363636,-0.230602,0.407507
0.666667,0.409091,-0.199219,-0.505387
0.666667,0.454545,-0.251605,-0.547823
0.666667,0.5,0.449867,-0.449867
0.714286,0,-0.0073244,0
0.714286,0.0454545,0.0134283,-0.142778
0.714286,0.0909091,0.00575142,-0.255037
0.714286,0.136364,-0.0480948,0.19889
0.714286,0.181818,-0.150636,-0.195281
0.714286,0.227273,-0.155669,-0.0600206
0.714286,0.272727,-0.0279992,0.0380922
0.714286,0.318182,-0.101745,0.239367
0.714286,0.363636,-0.102313,0.403702
0.714286,0.409091,-0.107596,-0.384022
0.714286,0.454545,0.171991,0.0871706
0.714286,0.5,0.168054,-0.168054
0.761905,0,0.105745,0
0.761905,0.0454545,0.113422,0.246619
0.761905,0.0909091,0.121099,0.493238
0.761905,0.136364,0.00474949,1.03991
0.761905,0.181818,0.00978263,1.00199
0.761905,0.227273,0.0148158,0.964076
0.761905,0.272727,-0.0718002,0.0262676
0.761905,0.318182,-0.0712332,-0.333055
0.761905,0.363636,-0.150837,0.458217
