x,y,Ex,Ey
0,0,0,0
0,0.000923636,-5.4298e-15,0
0,0.00184727,-1.08596e-14,0
0,0.00277091,18.9034,0
0,0.00369455,18.9034,0
0,0.00461818,18.9034,0
0,0.00554182,30.4107,0
0,0.00646545,30.4107,0
0,0.00738909,30.4107,0
0,0.00831273,13.6165,0
0,0.00923636,13.6165,0
0,0.01016,13.6165,0
0.00108857,0,0,6.39941e-15
0.00108857,0.000923636,-5.4298e-15,6.39941e-15
0.00108857,0.00184727,18.9034,21.2663
0.00108857,0.00277091,18.9034,2.30926e-14
0.00108857,0.00369455,18.9034,2.30926e-14
0.00108857,0.00461818,30.4107,12.9457
0.00108857,0.00554182,30.4107,3.37508e-14
0.00108857,0.00646545,30.4107,3.37508e-14
0.00108857,0.00738909,13.6165,-18.8935
0.00108857,0.00831273,13.6165,1.1191e-13
0.00108857,0.00923636,5.41789e-14,-15.3185
0.00108857,0.01016,0,-15.3185
0.00217714,0,0,1.27988e-14
0.00217714,0.000923636,18.9034,21.2663
0.00217714,0.00184727,18.9034,21.2663
0.00217714,0.00277091,18.9034,4.61853e-14
0.00217714,0.00369455,30.4107,12.9457
0.00217714,0.00461818,30.4107,12.9457
0.00217714,0.00554182,30.4107,6.75016e-14
0.00217714,0.00646545,13.6165,-18.8935
0.00217714,0.00738909,13.6165,-18.8935
0.00217714,0.00831273,1.10134e-13,-15.3185
0.00217714,0.00923636,5.41789e-14,-15.3185
0.00217714,0.01016,0,-15.3185
0.00326571,0,0,21.2663
0.00326571,0.000923636,-1.33227e-14,21.2663
0.00326571,0.00184727,-2.66454e-14,21.2663
0.00326571,0.00277091,-47.9349,12.9457
0.00326571,0.00369455,-47.9349,12.9457
0.00326571,0.00461818,-47.9349,12.9457
0.00326571,0.00554182,-5.55151,-18.8935
0.00326571,0.00646545,-5.55151,-18.8935
0.00326571,0.00738909,62.7503,57.946
0.00326571,0.00831273,62.7503,-15.3185
0.00326571,0.00923636,62.7503,-15.3185
0.00326571,0.01016,0,-85.9126
0.00435429,0,0,21.2663
0.00435429,0.000923636,-1.33227e-14,21.2663
0.00435429,0.00184727,-47.9349,-32.6604
0.00435429,0.00277091,-47.9349,12.9457
0.00435429,0.00369455,-47.9349,12.9457
0.00435429,0.00461818,-5.55151,60.627
0.00435429,0.00554182,-5.55151,-18.8935
0.00435429,0.00646545,62.7503,57.946
0.00435429,0.00738909,62.7503,57.946
0.00435429,0.00831273,62.7503,-15.3185
0.00435429,0.00923636,1.06581e-14,-85.9126
0.00435429,0.01016,0,-85.9126
0.00544286,0,0,21.2663
0.00544286,0.000923636,-47.9349,-32.6604
0.00544286,0.00184727,-47.9349,-32.6604
0.00544286,0.00277091,-47.9349,12.9457
0.00544286,0.00369455,-5.55151,60.627
0.00544286,0.00461818,-5.55151,60.627
0.00544286,0.00554182,62.7503,57.946
0.00544286,0.00646545,62.7503,57.946
0.00544286,0.00738909,62.7503,57.946
0.00544286,0.00831273,2.13163e-14,-85.9126
0.00544286,0.00923636,1.06581e-14,-85.9126
0.00544286,0.01016,0,-85.9126
0.00653143,0,0,-32.6604
0.00653143,0.000923636,4.44089e-14,-32.6604
0.00653143,0.00184727,-87.1875,-130.746
0.00653143,0.00277091,-87.1875,60.627
0.00653143,0.00369455,-87.1875,60.627
0.00653143,0.00461818,-31.1115,123.713
0.00653143,0.00554182,-31.1115,57.946
0.00653143,0.00646545,-31.1115,57.946
0.00653143,0.00738909,-47.6659,39.3223
0.00653143,0.00831273,-47.6659,-85.9126
0.00653143,0.00923636,-47.6659,-85.9126
0.00653143,0.01016,0,-32.2885
0.00762,0,0,-32.6604
0.00762,0.000923636,-87.1875,-130.746
0.00762,0.00184727,-87.1875,-130.746
0.00762,0.00277091,-87.1875,60.627
0.00762,0.00369455,-31.1115,123.713
0.00762,0.00461818,-31.1115,123.713
0.00762,0.00554182,-31.1115,57.946
0.00762,0.00646545,-47.6659,39.3223
0.00762,0.00738909,-47.6659,39.3223
0.00762,0.00831273,-47.6659,-85.9126
0.00762,0.00923636,-3.90799e-14,-32.2885
0.00762,0.01016,0,-32.2885
0.00870857,0,0,-130.746
0.00870857,0.000923636,-4.9738e-14,-130.746
0.00870857,0.00184727,-9.9476e-14,-130.746
0.00870857,0.00277091,51.1871,123.713
0.00870857,0.00369455,51.1871,123.713
0.00870857,0.00461818,51.1871,123.713
0.00870857,0.00554182,30.0206,39.3223
0.00870857,0.00646545,30.0206,39.3223
0.00870857,0.00738909,30.0206,39.3223
0.00870857,0.00831273,4.22326,-32.2885
0.00870857,0.00923636,4.22326,-32.2885
0.00870857,0.01016,0,-37.0396
0.00979714,0,0,-130.746
0.00979714,0.000923636,-4.9738e-14,-130.746
0.00979714,0.00184727,51.1871,-73.1609
0.00979714,0.00277091,51.1871,123.713
0.00979714,0.00369455,51.1871,123.713
0.00979714,0.00461818,30.0206,99.9001
0.00979714,0.00554182,30.0206,39.3223
0.00979714,0.00646545,30.0206,39.3223
0.00979714,0.00738909,4.22326,10.3004
0.00979714,0.00831273,4.22326,-32.2885
0.00979714,0.00923636,3.55271e-14,-37.0396
0.00979714,0.01016,0,-37.0396
0.0108857,0,0,-130.746
0.0108857,0.000923636,51.1871,-73.1609
0.0108857,0.00184727,51.1871,-73.1609
0.0108857,0.00277091,51.1871,123.713
0.0108857,0.00369455,30.0206,99.9001
0.0108857,0.00461818,30.0206,99.9001
0.0108857,0.00554182,30.0206,39.3223
0.0108857,0.00646545,4.22326,10.3004
0.0108857,0.00738909,4.22326,10.3004
0.0108857,0.00831273,7.10543e-14,-37.0396
0.0108857,0.00923636,3.55271e-14,-37.0396
0.0108857,0.01016,0,-37.0396
0.0119743,0,0,-73.1609
0.0119743,0.000923636,-1.06581e-14,-73.1609
0.0119743,0.00184727,-2.13163e-14,-73.1609
