y,we1,we2,we1_dot_we2,is_quad_point,quad_value
0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1,0.0000000000e+00
1.0000000000e-02,9.9000000000e-01,1.0000000000e-02,9.9000000000e-03,0,0.0000000000e+00
2.0000000000e-02,9.8000000000e-01,2.0000000000e-02,1.9600000000e-02,0,0.0000000000e+00
3.0000000000e-02,9.7000000000e-01,3.0000000000e-02,2.9100000000e-02,0,0.0000000000e+00
4.0000000000e-02,9.6000000000e-01,4.0000000000e-02,3.8400000000e-02,0,0.0000000000e+00
5.0000000000e-02,9.5000000000e-01,5.0000000000e-02,4.7500000000e-02,0,0.0000000000e+00
6.0000000000e-02,9.4000000000e-01,6.0000000000e-02,5.6400000000e-02,0,0.0000000000e+00
7.0000000000e-02,9.3000000000e-01,7.0000000000e-02,6.5100000000e-02,0,0.0000000000e+00
8.0000000000e-02,9.2000000000e-01,8.0000000000e-02,7.3600000000e-02,0,0.0000000000e+00
9.0000000000e-02,9.1000000000e-01,9.0000000000e-02,8.1900000000e-02,0,0.0000000000e+00
1.0000000000e-01,9.0000000000e-01,1.0000000000e-01,9.0000000000e-02,0,0.0000000000e+00
1.1000000000e-01,8.9000000000e-01,1.1000000000e-01,9.7900000000e-02,0,0.0000000000e+00
1.2000000000e-01,8.8000000000e-01,1.2000000000e-01,1.0560000000e-01,0,0.0000000000e+00
1.3000000000e-01,8.7000000000e-01,1.3000000000e-01,1.1310000000e-01,0,0.0000000000e+00
1.4000000000e-01,8.6000000000e-01,1.4000000000e-01,1.2040000000e-01,0,0.0000000000e+00
1.5000000000e-01,8.5000000000e-01,1.5000000000e-01,1.2750000000e-01,0,0.0000000000e+00
1.6000000000e-01,8.4000000000e-01,1.6000000000e-01,1.3440000000e-01,0,0.0000000000e+00
1.7000000000e-01,8.3000000000e-01,1.7000000000e-01,1.4110000000e-01,0,0.0000000000e+00
1.8000000000e-01,8.2000000000e-01,1.8000000000e-01,1.4760000000e-01,0,0.0000000000e+00
1.9000000000e-01,8.1000000000e-01,1.9000000000e-01,1.5390000000e-01,0,0.0000000000e+00
2.0000000000e-01,8.0000000000e-01,2.0000000000e-01,1.6000000000e-01,0,0.0000000000e+00
2.1000000000e-01,7.9000000000e-01,2.1000000000e-01,1.6590000000e-01,0,0.0000000000e+00
2.2000000000e-01,7.8000000000e-01,2.2000000000e-01,1.7160000000e-01,0,0.0000000000e+00
2.3000000000e-01,7.7000000000e-01,2.3000000000e-01,1.7710000000e-01,0,0.0000000000e+00
2.4000000000e-01,7.6000000000e-01,2.4000000000e-01,1.8240000000e-01,0,0.0000000000e+00
2.5000000000e-01,7.5000000000e-01,2.5000000000e-01,1.8750000000e-01,0,0.0000000000e+00
2.6000000000e-01,7.4000000000e-01,2.6000000000e-01,1.9240000000e-01,0,0.0000000000e+00
2.7000000000e-01,7.3000000000e-01,2.7000000000e-01,1.9710000000e-01,0,0.0000000000e+00
2.8000000000e-01,7.2000000000e-01,2.8000000000e-01,2.0160000000e-01,0,0.0000000000e+00
2.9000000000e-01,7.1000000000e-01,2.9000000000e-01,2.0590000000e-01,0,0.0000000000e+00
3.0000000000e-01,7.0000000000e-01,3.0000000000e-01,2.1000000000e-01,0,0.0000000000e+00
3.1000000000e-01,6.9000000000e-01,3.1000000000e-01,2.1390000000e-01,0,0.0000000000e+00
3.2000000000e-01,6.8000000000e-01,3.2000000000e-01,2.1760000000e-01,0,0.0000000000e+00
3.3000000000e-01,6.7000000000e-01,3.3000000000e-01,2.2110000000e-01,0,0.0000000000e+00
3.4000000000e-01,6.6000000000e-01,3.4000000000e-01,2.2440000000e-01,0,0.0000000000e+00
3.5000000000e-01,6.5000000000e-01,3.5000000000e-01,2.2750000000e-01,0,0.0000000000e+00
